tweetid,link,source,retweet_count,tweet_type,user_id
1600743117195739136,https://twitter.com/VIVAcoid/statuses/1600743117195739136,dlvr.it,0,original,41730943
1600743112774598656,https://twitter.com/della_april/statuses/1600743112774598656,Twitter for Android,215,retweet,234367184
1600743112560689153,https://twitter.com/liputan6dotcom/statuses/1600743112560689153,dlvr.it,0,original,47596019
1600743097796677633,https://twitter.com/AsmaraZacky/statuses/1600743097796677633,Twitter for Android,215,retweet,2773859315
1600743092608700417,https://twitter.com/petabencana/statuses/1600743092608700417,PetaJakarta.org,0,reply,2276880895
1600743090293440514,https://twitter.com/SyahrudinFaizal/statuses/1600743090293440514,Twitter for iPad,3016,retweet,2849711744
1600743089035177984,https://twitter.com/roosfeary/statuses/1600743089035177984,Twitter for Android,8,retweet,131370752
1600743080025415680,https://twitter.com/Akhmadlucu/statuses/1600743080025415680,Twitter for Android,1341,retweet,1369380690643611652
1600743069124464640,https://twitter.com/SarahOl39576733/statuses/1600743069124464640,Twitter Web App,0,original,1594203599915343873
1600743053135777793,https://twitter.com/ClarisaJharna/statuses/1600743053135777793,Twitter Web App,0,original,1539443995805306882
1600743048463282176,https://twitter.com/WhoIsMuhaimin/statuses/1600743048463282176,Twitter Web App,0,reply,1597139664368209920
1600743041806966784,https://twitter.com/dapurkelilingEF/statuses/1600743041806966784,Twitter for Android,0,reply,117036907
1600743037638152192,https://twitter.com/roosfeary/statuses/1600743037638152192,Twitter for Android,23,retweet,131370752
1600743015123152896,https://twitter.com/JamieGo56137862/statuses/1600743015123152896,Twitter Web App,0,original,1594174365364428806
1600742973922508800,https://twitter.com/CherylC29268828/statuses/1600742973922508800,Twitter Web App,0,original,1592256768817627139
1600742964569210881,https://twitter.com/stresspressoo/statuses/1600742964569210881,Twitter for Android,0,original,1130540064025468928
1600742935728779264,https://twitter.com/77bayoe/statuses/1600742935728779264,Twitter for Android,20,retweet,2191962343
1600742907228483584,https://twitter.com/LNininini/statuses/1600742907228483584,Twitter Web App,0,quote,1584380212912848898
1600742905945419782,https://twitter.com/weiyasudah/statuses/1600742905945419782,Twitter for Android,11612,retweet,995332160918732800
1600742900626694145,https://twitter.com/MenulRisa/statuses/1600742900626694145,Twitter for Android,4,retweet,1407539468966367236
1600742899431661568,https://twitter.com/vvlaqtakuvdlq/statuses/1600742899431661568,Twitter Web App,0,original,763846072783351808
1600742893542686720,https://twitter.com/aktualofficial/statuses/1600742893542686720,Jetpack.com,0,original,1142137706840875008
1600742890350600192,https://twitter.com/Zhraliaptri001/statuses/1600742890350600192,Twitter for Android,210,retweet,1570065312917393409
1600742886878109696,https://twitter.com/CaryantoAwuy/statuses/1600742886878109696,Twitter for Android,8,retweet,1454608993456775171
1600742885196173312,https://twitter.com/rosma9_trg/statuses/1600742885196173312,Twitter Web App,39,retweet,704317219
1600742872248029185,https://twitter.com/Ochiiisheree/statuses/1600742872248029185,Twitter for iPhone,1341,retweet,1222002251666903041
1600742870738120704,https://twitter.com/Antonius061/statuses/1600742870738120704,Twitter for Android,45,retweet,1327889365360472064
1600742864509894656,https://twitter.com/Bonardo2311/statuses/1600742864509894656,Twitter for Android,23,retweet,1524552908532232198
1600742854275387392,https://twitter.com/Antonius061/statuses/1600742854275387392,Twitter for Android,23,retweet,1327889365360472064
1600742841646338048,https://twitter.com/molen_karl/statuses/1600742841646338048,Twitter for Android,55,retweet,1038060147744989185
1600742837611507712,https://twitter.com/drgnhills/statuses/1600742837611507712,Twitter for Android,0,reply,1596165058366963713
1600742837569880064,https://twitter.com/brantalaras/statuses/1600742837569880064,Twitter for Android,14,retweet,1590193908608249856
1600742836269641728,https://twitter.com/C_AjiMahameru52/statuses/1600742836269641728,Twitter for Android,23,retweet,884952657311309824
1600742817298776066,https://twitter.com/CaryantoAwuy/statuses/1600742817298776066,Twitter for Android,23,retweet,1454608993456775171
1600742815763308544,https://twitter.com/Calif_ID/statuses/1600742815763308544,Twitter for Android,619,retweet,609115713
1600742801301327873,https://twitter.com/BiruJalanan/statuses/1600742801301327873,Twitter Web App,0,quote,1584377290875543552
1600742798130483201,https://twitter.com/Pujangga_malam0/statuses/1600742798130483201,Twitter for Android,0,reply,1514684180088569872
1600742793479344129,https://twitter.com/4rdn4n/statuses/1600742793479344129,Twitter for Android,168,retweet,232390238
1600742787645050882,https://twitter.com/Tatata3x/statuses/1600742787645050882,Twitter for Android,0,reply,1259643509318881280
1600742765847277568,https://twitter.com/__FuToday/statuses/1600742765847277568,Twitter for Android,45,retweet,1219453523856781312
1600742761409675264,https://twitter.com/jgpsqsaxpwrlz/statuses/1600742761409675264,Twitter Web App,0,original,766675035041824769
1600742742337892352,https://twitter.com/kukangracing/statuses/1600742742337892352,Twitter for Android,0,quote,635221728
1600742739254996992,https://twitter.com/Oopssiie/statuses/1600742739254996992,Twitter for Android,1341,retweet,1266447850164023296
1600742737157857280,https://twitter.com/seungmingoose/statuses/1600742737157857280,Twitter for Android,619,retweet,1418465388015226882
1600742723916472321,https://twitter.com/Mycity_co_id/statuses/1600742723916472321,Twitter Web App,0,original,1365599502510395396
1600742722197147649,https://twitter.com/petabencana/statuses/1600742722197147649,PetaJakarta.org,0,original,2276880895
1600742720670081025,https://twitter.com/sayuranaway/statuses/1600742720670081025,Twitter for iPhone,619,retweet,3303234782
1600742714899066881,https://twitter.com/AnindyaBora/statuses/1600742714899066881,Twitter Web App,0,original,1539441919235100673
1600742710536994816,https://twitter.com/rosma9_trg/statuses/1600742710536994816,Twitter Web App,130,retweet,704317219
1600742704866295808,https://twitter.com/Zeeshanchowdhu8/statuses/1600742704866295808,Twitter for Android,61,retweet,1600557264846340113
1600742703641550848,https://twitter.com/Kpopthailism/statuses/1600742703641550848,Twitter for iPhone,0,reply,1316436368986316800
1600742703192768512,https://twitter.com/maelel__/statuses/1600742703192768512,Twitter for Android,53,quote,631564876
1600742700873306112,https://twitter.com/kyeashaeooo/statuses/1600742700873306112,Twitter for iPhone,11371,retweet,1286993226788814848
1600742686881107968,https://twitter.com/Syauqimuhaammad/statuses/1600742686881107968,Twitter for Android,0,original,1446810567188967425
1600742686251634688,https://twitter.com/amyeonghaseyo/statuses/1600742686251634688,Twitter for Android,673,retweet,739826119
1600742678441840642,https://twitter.com/uswatun92408324/statuses/1600742678441840642,Twitter for Android,23,retweet,1598479218928545792
1600742671265730561,https://twitter.com/whydadoodle/statuses/1600742671265730561,Twitter for Android,0,original,3143156665
1600742656170405888,https://twitter.com/Xtrada08/statuses/1600742656170405888,Twitter for Android,2,retweet,837773436
1600742656145231873,https://twitter.com/skawngur00/statuses/1600742656145231873,Twitter for Android,37,retweet,1303989807417188352
1600742647710199808,https://twitter.com/amymura99/statuses/1600742647710199808,Twitter for Android,75,retweet,1286911788349415424
1600742647664349186,https://twitter.com/QQ__cat/statuses/1600742647664349186,Twitter for Android,0,reply,2527595600
1600742646515142656,https://twitter.com/RAUTOPlA/statuses/1600742646515142656,Twitter for iPhone,0,original,1117152505777938432
1600742644174716933,https://twitter.com/Xtrada08/statuses/1600742644174716933,Twitter for Android,2,retweet,837773436
1600742638285918208,https://twitter.com/12agusp/statuses/1600742638285918208,TweetDeck,14,retweet,339539506
1600742636998242304,https://twitter.com/kimchaeger/statuses/1600742636998242304,Twitter for Android,673,retweet,1308706916885905408
1600742634900795393,https://twitter.com/pajaksanggau/statuses/1600742634900795393,Twitter for iPhone,82,retweet,3177238722
1600742619755077632,https://twitter.com/Akiraanakmama/statuses/1600742619755077632,Twitter for Android,1341,retweet,1573152585783005185
1600742618102927360,https://twitter.com/kpsagnsgr/statuses/1600742618102927360,Twitter Web App,0,quote,1584375218096975872
1600742610775441408,https://twitter.com/wakndhuz/statuses/1600742610775441408,Twitter for Android,1341,retweet,1248366425627963392
1600742581524369408,https://twitter.com/AdiPutroNugroh0/statuses/1600742581524369408,Twitter for Android,0,reply,1509193032402599939
1600742579997638657,https://twitter.com/rosma9_trg/statuses/1600742579997638657,Twitter Web App,40,retweet,704317219
1600742579179356161,https://twitter.com/Rusli78880205/statuses/1600742579179356161,Twitter Web App,7,retweet,1220171308912140288
1600742565363740673,https://twitter.com/Xtrada08/statuses/1600742565363740673,Twitter for Android,3,retweet,837773436
1600742549576376320,https://twitter.com/Thalitateuk/statuses/1600742549576376320,Twitter for Android,619,retweet,194524688
1600742548183842816,https://twitter.com/Jelita2020/statuses/1600742548183842816,Twitter Web App,0,original,1209638707973607424
1600742537014431744,https://twitter.com/Xtrada08/statuses/1600742537014431744,Twitter for Android,2,retweet,837773436
1600742533273104384,https://twitter.com/Domyadhu2010/statuses/1600742533273104384,Twitter for Android,0,original,1462996110172045314
1600742528520966144,https://twitter.com/pikiran_rakyat/statuses/1600742528520966144,dlvr.it,0,original,58880688
1600742519704543232,https://twitter.com/pikiran_rakyat/statuses/1600742519704543232,dlvr.it,0,original,58880688
1600742516705218560,https://twitter.com/dherma98/statuses/1600742516705218560,Twitter Web App,38,retweet,554958569
1600742515900289025,https://twitter.com/KompasTV/statuses/1600742515900289025,dlvr.it,0,original,71436318
1600742510954827777,https://twitter.com/mynameisopaagus/statuses/1600742510954827777,Twitter for Android,22,retweet,216928164
1600742492420251648,https://twitter.com/boyswilldanboys/statuses/1600742492420251648,Twitter for Android,0,original,1560960807264956418
1600742489769447424,https://twitter.com/bhitominika/statuses/1600742489769447424,Twitter Web App,0,quote,1584101847593193472
1600742484191375361,https://twitter.com/12agusp/statuses/1600742484191375361,TweetDeck,22,retweet,339539506
1600742478981701633,https://twitter.com/della_april/statuses/1600742478981701633,Twitter for Android,22,retweet,234367184
1600742478654898176,https://twitter.com/_407Chnsa/statuses/1600742478654898176,Twitter for Android,0,original,1166124847
1600742476972974080,https://twitter.com/thecatxdiary/statuses/1600742476972974080,Twitter for Android,619,retweet,4848118486
1600742433083756546,https://twitter.com/awraaxa/statuses/1600742433083756546,Twitter for Android,0,reply,1407536521784152065
1600742411915124736,https://twitter.com/Mmahalik2/statuses/1600742411915124736,Twitter for Android,16,retweet,931835519352291328
1600742395909324800,https://twitter.com/MG_Petamburan/statuses/1600742395909324800,Twitter Web App,22,retweet,1197733144595550208
1600742386635722752,https://twitter.com/kangpudidi/statuses/1600742386635722752,TweetDeck,0,reply,226065632
1600742376217403392,https://twitter.com/vanessa_agl/statuses/1600742376217403392,Twitter Web App,0,original,1542501776481349634
1600742359704408065,https://twitter.com/bintanganggarra/statuses/1600742359704408065,Twitter Web App,0,original,1539440223532511233
1600742356684132352,https://twitter.com/dewiratt/statuses/1600742356684132352,Twitter Web App,45,retweet,195331501
1600742355145228288,https://twitter.com/crinkledtissue/statuses/1600742355145228288,Twitter for Android,619,retweet,1448325725119868930
1600742354989637632,https://twitter.com/della_april/statuses/1600742354989637632,Twitter for Android,1878,retweet,234367184
1600742341353930752,https://twitter.com/rimurubtempest/statuses/1600742341353930752,Twitter Web App,0,quote,1584099773761527808
1600742341316268032,https://twitter.com/BentangImaji/statuses/1600742341316268032,Twitter for Android,0,reply,1057997031833141248
1600742334052069376,https://twitter.com/petabencana/statuses/1600742334052069376,PetaJakarta.org,0,reply,2276880895
1600742330252029952,https://twitter.com/santridanalam/statuses/1600742330252029952,Twitter Web App,0,quote,914211170
1600742313805824000,https://twitter.com/utarapadma/statuses/1600742313805824000,Twitter for Android,619,retweet,972023011799789568
1600742303261659137,https://twitter.com/hilyah_hapsari/statuses/1600742303261659137,Twitter Web App,1,retweet,1555395199198568449
1600742294394585089,https://twitter.com/eumooriety/statuses/1600742294394585089,Twitter for Android,0,original,982494446871707648
1600742291148136448,https://twitter.com/aiseucoffee/statuses/1600742291148136448,Twitter for iPhone,619,retweet,1335846513960861696
1600742289114292224,https://twitter.com/hilyah_hapsari/statuses/1600742289114292224,Twitter Web App,1,original,1555395199198568449
1600742286455115777,https://twitter.com/andriyhans9/statuses/1600742286455115777,Twitter for Android,23,retweet,1119535353465937920
1600742274505539585,https://twitter.com/AkbarYoso/statuses/1600742274505539585,Twitter for Android,1,retweet,2226188232
1600742273507299328,https://twitter.com/HotasiInneke/statuses/1600742273507299328,Twitter Web App,0,original,1540226886067834882
1600742261478019073,https://twitter.com/Kpopthailism/statuses/1600742261478019073,Twitter for iPhone,0,original,1316436368986316800
1600742225297608704,https://twitter.com/konohanisme/statuses/1600742225297608704,Twitter Web App,0,quote,1584098020253085696
1600742214355025920,https://twitter.com/liputan6dotcom/statuses/1600742214355025920,Twitter Media Studio,0,original,47596019
1600742206134177793,https://twitter.com/darkchocojen/statuses/1600742206134177793,Twitter for Android,22,retweet,1433450149389291522
1600742190967554051,https://twitter.com/darkchocojen/statuses/1600742190967554051,Twitter for Android,2976,retweet,1433450149389291522
