@relation Data_Gempa_fix

@attribute tweet_id numeric
@attribute user_id numeric
@attribute user_friends numeric
@attribute user_follower numeric
@attribute 'user_statuses count' numeric
@attribute tweet_type {original,retweet,reply,quote}

@data
1600738970047893500,1257058752,188,167,2885,retweet
1600738983239380990,1591936845847400450,6,0,5,original
1600738986452221950,1539253077726879740,33,21,79,original
1600739023706034180,1299236103489085440,224,33,13705,retweet
1600739030135894020,1600738732709007360,24,0,6,retweet
1600739037085863940,1277460829638545410,266,163,18449,original
1600739041254969340,1070399687335673860,0,14,18,original
1600739042249052160,971913180359217150,70,23,551,reply
1600739050008477700,1542773465232842750,71,31,84,original
1600739063623208960,1462334512487038980,299,286,931,retweet
1600739072414167040,1596165058366963710,248,28,1456,original
1600739092584878080,2996717984,102,52,384,original
1600739096481398780,1591938721808531460,5,0,5,original
1600739100603998210,1335824524118376450,236,188,1848,reply
1600739101203783680,1600738732709007360,24,0,6,retweet
1600739103309381630,2498135762,199,39,2914,original
1600739128412639230,1491995422403198980,176,2,24,retweet
1600739129989378050,1365599502510395390,499,5050,5573,original
1600739147462762500,2214606110,13,18,3892,original
1600739149421608960,2214606110,13,18,3892,original
1600739150046859260,901337275,44,248,16865,retweet
1600739158225432580,1451296650,601,52589,127,retweet
1600739178601336830,1539256592834916350,31,21,80,original
1600739178685554690,1229053379143294980,66,8,696,original
1600739208900984830,903229236051247100,179,23732,87454,original
1600739220083322880,218088086,3164,1102,20615,retweet
1600739223623307260,1591936869473914880,6,0,5,original
1600739233299562500,1574767196047560700,54,3,24,reply
1600739241733914620,1431845095930613760,66,4,150,retweet
1600739254417563650,1592465675225772030,118,11,3824,retweet
1600739269630656510,127531036,141,796,102716,retweet
1600739271127994370,943094671,485,557,8252,reply
1600739273162260480,1563135583291346940,2,0,69,original
1600739275330686980,1292343650203000830,129,23,1278,original
1600739282314227710,2230018859,23,4,134,reply
1600739288928296960,1544729737741750270,19,16,61,original
1600739300475535360,1227045686,61,3,483,retweet
1600739300835962880,1554460771,18,4,496,retweet
1600739307282911230,1523608588262211580,1359,132,3087,retweet
1600739308365045760,1211101706,43,0,375,retweet
1600739313897312260,561214560,27,3,427,retweet
1600739314220306430,1265836453,58,2,282,retweet
1600739314505502720,1378802210,14,2,378,retweet
1600739326156906500,1513055806412926980,201,1501,3806,retweet
1600739340954411010,1283238574909882370,239,47,13459,original
1600739354309054460,127531036,141,796,102716,retweet
1600739356599517180,222376705,2178,3861,584472,retweet
1600739362651910140,1590352757101572100,79,3,129,retweet
1600739363784396800,379090233,902,95,20066,retweet
1600739384893939710,1539258866244153340,35,16,81,original
1600739385166925820,379090233,902,95,20066,retweet
1600739385896742910,219267326,526,574,68204,retweet
1600739409288376320,1599383886324445180,7,0,4,original
1600739428020158460,1187706694966464510,359,41,59507,retweet
1600739435209162750,1402998549973934080,113,44,4087,original
1600739435489873920,1420946307653398530,111,14,1136,retweet
1600739452753690620,944180887171743740,194,4771,198813,original
1600739461175734270,1574973421,311,516,66676,retweet
1600739463331577860,1507514240403353600,51,1,3977,retweet
1600739463424278530,576298044,955,1313,44915,original
1600739464434765820,1562302214634602500,134,61,1840,retweet
1600739465571418110,1300320506629906430,2007,2001,76752,original
1600739485956083710,1300320506629906430,2007,2001,76752,reply
1600739487721861120,794914491548827650,11113,11938,4887,retweet
1600739494030106620,1166298376767324160,862,24,4987,retweet
1600739505325035520,1308729693642715140,2175,2094,14743,retweet
1600739507841601540,1096974395623432190,2677,226,5953,retweet
1600739523834843140,1272494372513148930,5729,21450,192540,retweet
1600739528188522500,146824867,855,2297,179656,quote
1600739542293569540,702254162,43,0,750,retweet
1600739557359878140,440524838,489,888,35596,retweet
1600739559913857020,1071702954,48,2,335,retweet
1600739574283587580,1539266079070965760,32,15,82,original
1600739578708897790,981713980199649280,3297,9725,53754,retweet
1600739579354841090,1569594823329587200,24,0,203,retweet
1600739588582305790,1593905873910640640,58,16,47,original
1600739618852593660,1344276472991629310,69,36,308,original
1600739629728153600,980018905904136190,6,13,581,original
1600739638250872830,1544728883169095680,8,17,59,original
1600739645486116860,1583363305384869890,90,87,392,reply
1600739648300457980,702254162,43,0,750,retweet
1600739649731067900,1393199480954966020,522,516,1366,retweet
1600739653883248640,18664149,2539,10208,106643,original
1600739661441556480,485524983,230,349,6456,original
1600739664205582340,896544032,37,1,1300,retweet
1600739671671476220,199545589,917,1555,40187,reply
1600739685994987520,1064620886689439740,28,512,5674,retweet
1600739689270366210,1458982930332618750,116,0,408,retweet
1600739704357687300,2221429867,663,233,4559,reply
1600739706077007870,892245663106211840,7110,10442,155617,retweet
1600739707825971200,1432887717038198780,344,300,701,retweet
1600739712322326530,1573286573155618820,1,0,1,retweet
1600739727153381380,1475304238162972670,460,448,30863,original
1600739727942242300,1576920129656434690,77,5,3372,retweet
1600739732778291200,936624495510528000,1073,1473,21902,original
1600739740726497280,1151448886659076100,148,2759,2462,retweet
1600739745998389250,1483655698357825540,995,1049,9892,reply
1600739772745404420,992881864435118080,62,31,275,original
1600739783638102020,1539267273080176640,32,15,80,original
1600739788826763260,1261647734,186,24,63,original
1600739801036046340,365308965,292,841,37391,retweet
1600739804895121410,346361998,701,188,16221,retweet
1600739806559903740,1582770809017204740,105,32,304,original
1600739844438691840,1462334512487038980,299,286,931,retweet
1600739845416312830,1456398750214070270,2224,1960,52350,retweet
1600739856593739780,919737116229111810,2866,2565,35382,retweet
1600739869235773440,1462334512487038980,299,286,931,retweet
1600739889234194430,70120802,2399,15694,67055,retweet
1600739889795846140,1035545525532078080,1619,665,40015,retweet
1600739898512015360,1548625578802130940,346,98,9537,retweet
1600739901649326080,1325064039395807230,772,727,12454,original
1600739927339081730,919737116229111810,2866,2565,35382,retweet
1600739939846881280,1200301458492551170,1244,1251,64089,retweet
1600739943848247300,349322203,5341,6931,52517,retweet
1600739981336580100,91109305,723,446,13338,original
1600739984473960450,1407539468966367230,847,334,15510,retweet
1600739984574906370,1539269321213771780,32,15,81,original
1600739987556745220,1580109400286449660,8,0,1,retweet
1600739998651011070,114470875,387,530,27895,retweet
1600740022918868990,1407539468966367230,847,334,15510,retweet
1600740030334799870,3257047272,957,637,67303,reply
1600740046360875010,1464140728741814270,40,30,3646,retweet
1600740051188862980,706142581122428930,341,255,10756,reply
1600740054460428290,896544032,37,1,1300,retweet
1600740073263091710,1562302214634602500,134,61,1840,retweet
1600740079366213630,3672722779,2693,1878,65516,original
1600740088744644610,1261647734,186,24,63,original
1600740097343000580,1459332215926452220,940,2878,10439,retweet
1600740100119597060,3672722779,2693,1878,65516,reply
1600740114443165700,1119535353465937920,136,287,32913,retweet
1600740121581871100,47274731,66,1847958,1930972,original
1600740129798119420,702254162,43,0,750,retweet
1600740130482159620,1335287630976577540,133,64,35875,original
1600740147536203780,1119535353465937920,136,287,32913,retweet
1600740154389721090,1591939599395438590,6,0,5,original
1600740170650689540,361031384,898,322,23227,retweet
1600740184500232190,1596661256903045120,22,0,128,original
1600740193392537600,1460842808059645950,319,75,6870,quote
1600740195657056260,1152056252635029500,1529,708,85408,retweet
1600740207170441220,848932347974041600,683,333,194350,retweet
1600740208156487680,1540286824144596990,25,1,1841,original
1600740217509400580,702254162,43,0,750,retweet
1600740219409825790,170244664,3187,1313,17778,reply
1600740222475829250,1597066568353316860,4,0,13,original
1600740226926018560,2228180934,124,49,32048,retweet
1600740243799318530,1498294669154807810,17,5,643,original
1600740252507058180,1556242640320233470,2045,1890,14035,reply
1600740259825782780,798766483228618750,1580,1253,21876,retweet
1600740261604511740,23786106,98,997085,789253,original
1600740270307389440,1313333334085267460,14,3,8,retweet
1600740278612430850,896544032,37,1,1300,retweet
1600740291559903230,1466126761394065410,633,168,76,retweet
1600740294735331330,994140969078411260,133,153,61204,retweet
1600740298828566530,1591936590472945660,6,0,5,original
1600740299751403520,133137263,1296,485,58997,retweet
1600740320685494270,1597942160644395010,10,2,24,retweet
1600740334589267970,1589882880280256510,3,0,1,retweet
1600740341245935620,2321790318,2493,1338,91972,original
1600740342642667520,1591937208482729980,4,0,5,original
1600740362230063100,400777327,238,290,1086,original
1600740374435069950,1514436694547714050,340,150,80,original
1600740385642680320,1560223437637156860,155,22,2449,retweet
1600740391510081540,1596661256903045120,22,0,128,original
1600740393162723330,702254162,43,0,750,retweet
1600740402478579710,1587987596848029700,2,0,62,original
1600740439443001340,1181944805615554560,97,7,8598,retweet
1600740439476215810,594425782,625,512,88486,retweet
1600740448997634050,47274731,66,1847958,1930972,original
1600740454903222270,1598246340815114240,48,3,148,retweet
1600740460196397060,1591942357028466690,6,0,5,original
1600740463803174910,1597813506849415170,3,11,48,quote
1600740464667537410,2285118132,185,14198,74853,retweet
1600740475463356420,1596661256903045120,22,0,128,original
1600740477329760260,1590250717691797500,30,19,956,retweet
1600740507352711170,62018330,426,276,7421,original
1600740515829338110,2857645520,3983,3028,26606,reply
1600740530455183360,1265475532524748800,20,25,1045,retweet
1600740538902544380,1539270481404375040,32,15,82,original
1600740541217415170,1600116331923185660,2,0,27,original
1600740578001825790,1562373051043692540,140,133,154,retweet
1600740593671421950,1295326685244448770,4627,2608,44376,retweet
