Timestamp,"Usia anda saat ini
*contoh : 13 Tahun",Jenis Kelamin,Status Anda saat ini (Anda dapat memilih lebih dari satu opsi),Durasi anda tidur dalam sehari,Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda rutin mengonsumsi kafein?],Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda rutin berolahraga?],Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda sering mengonsumsi makanan atau minuman sebelum tidur?],Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda memiliki kebiasaan menggunakan perangkat elektronik (seperti smartphone atau tablet) sebelum tidur?],"Pilihlah sesuai dengan kebiasaan Anda [Apakah Anda memiliki rutinitas tidur yang teratur, seperti menjaga jadwal tidur yang konsisten?]",Pilihlah sesuai dengan produktivitas Anda [Seberapa sering Anda merasa segar dan bertenaga saat bangun tidur?],Pilihlah sesuai dengan produktivitas Anda [Seberapa sering Anda mengalami kantuk berlebihan atau mengantuk di siang hari?],Pilihlah sesuai dengan produktivitas Anda [Seberapa sering Anda mencapai target dalam pekerjaan Anda?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda pernah merasa sulit untuk menyelesaikan tugas atau pekerjaan karena kurang tidur?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda merasa memiliki cukup energi untuk menyelesaikan tugas atau pekerjaan yang ada?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda merasa terorganisir dalam mengelola waktu dan tugas-tugas Anda?],Pilih sesuai dengan diri Anda sendiri [Apakah Anda merasa lebih produktif saat tidur dengan baik dan cukup dibandingkan saat tidur yang kurang berkualitas?],Apa penyebab yang membuat anda mengalami kesulitan untuk tidur?,Apa faktor utama yang dapat membuat Anda menjadi kurang produktif/malas?
5/21/2023 9:45:11,19 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Tidak,Ya,Kadang-kadang,Jarang,Kadang-kadang,Jarang,Ya,Tidak,Tidak,Ya,"Karena banyaknya tugas dengan deadline yang sempit, dan tidak adanya kontibutor dalam sebuah kelompok sehingga semua pekerjaan dibebankan kepada satu orang","Pengaruh HP, kurang liburan"
5/21/2023 11:06:18,20 tahun,Laki - laki,Mahasiswa,8 - 10 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Kadang-kadang,Sering,Kadang-kadang,Sering,Ya,Ya,Ya,Ya,Banyaknya kegiatan dihari yang akan datang membuat otak berpikir disaat ingin tidur ,Rasa lelah dan kurangnya motivasi 
5/21/2023 11:07:54,20 Tahun,Laki - laki,Mahasiswa,6 - 8 jam,Kadang-kadang,Tidak,Ya,Ya,Tidak,Jarang,Sering,Sering,Ya,Ya,Tidak,Ya,"Kurang nyaman, Laper",Menunda-nunda pekerjaan
5/21/2023 22:35:57,20 tahun,Perempuan,Mahasiswa,6 - 8 jam,Kadang-kadang,Tidak,Tidak,Ya,Ya,Sering,Sering,Sering,Ya,Ya,Ya,Ya,kepikiran tugas,ngantuk pengen tidur
5/22/2023 10:33:57,20 tahun,Laki - laki,Mahasiswa,Kurang dari 4 jam,Ya,Ya,Kadang-kadang,Ya,Tidak,Sering,Sering,Sangat sering,Ya,Ya,Ya,Ya,"Push rank, push tugas, kerjaan",kebiasaan
5/22/2023 10:35:21,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Kadang-kadang,Sering,Kadang-kadang,Ya,Ya,Tidak,Ya,Tugas tugas yang menumpuk dari dosen,Ngantuk 
5/22/2023 10:37:38,19 tahun,Perempuan,Mahasiswa,4 - 6 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Tidak,Jarang,Jarang,Jarang,Ya,Ya,Tidak,Ya,Banyak tugas,Jadwal tidak teratur 
5/22/2023 10:40:49,20 tahun,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Kadang-kadang,Kadang-kadang,Ya,Tidak,Kadang-kadang,Jarang,Kadang-kadang,Ya,Ya,Ya,Ya,Tugas yang kepikiran hehe😁,Scroll tiktok wkwk 😭
5/22/2023 10:42:00,19 Tahun,Perempuan,Mahasiswa,6 - 8 jam,Tidak,Tidak,Ya,Ya,Kadang-kadang,Jarang,Kadang-kadang,Sering,Ya,Ya,Ya,Ya,Tugas numpuk,Ngantuk
5/22/2023 10:42:45,21 Tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Tidak,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Ya,Ya,Ya,Minum kopi,"Ngantuk, kurang energi "
5/22/2023 10:42:59,26,Perempuan,"Pekerja Full-time (karyawan tetap, karyawan kontrak, dll.), Ibu rumah tangga",6 - 8 jam,Ya,Tidak,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sangat sering,Sering,Ya,Ya,Tidak,Ya,ide atau pikiran yang keluar saat menjelang tidur,"kurang motivasi, kalau bisa di kerjakan besok, kenapa harus sekarang"
5/22/2023 10:43:39,20 tahun,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Tidak,Kadang-kadang,Ya,Tidak,Jarang,Sering,Kadang-kadang,Ya,Ya,Ya,Ya,Tidak tau,Kurang tidur
5/22/2023 10:46:25,19 Tahun,Perempuan,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Tidak,Kadang-kadang,Sering,Sering,Ya,Ya,Ya,Ya,Banyak pikiran yang ga selesai selesai,"Ngantuk, lebih enak rebahan"
5/22/2023 10:47:05,20 tahun,Laki - laki,Mahasiswa,Kurang dari 4 jam,Ya,Tidak,Kadang-kadang,Ya,Tidak,Kadang-kadang,Sering,Jarang,Tidak,Ya,Ya,Ya,Banyak mengkonsumsi kopi dan sering overthinking,Kurangnya semangat belajar dikarenakan banyak pikiran
5/22/2023 10:49:06,20 tahun,Laki - laki,Mahasiswa,4 - 6 jam,Kadang-kadang,Kadang-kadang,Kadang-kadang,Ya,Ya,Sering,Kadang-kadang,Sering,Tidak,Ya,Ya,Ya,banyak pikiran,Gadget
5/22/2023 10:49:19,21 Tahun,Perempuan,"Mahasiswa, Pengusaha (wirausaha atau pemilik usaha)",Kurang dari 4 jam,Kadang-kadang,Kadang-kadang,Ya,Ya,Tidak,Jarang,Sangat sering,Sering,Ya,Tidak,Tidak,Ya,jadwal yang padat,mengantuk
