Judul,Tanggal,Penulis,Label,Kota,Content,Url
"Nekad Dahului Truk Lewat Sebelah Kiri, Pengendara Motor Tewas Terlindas","Minggu, 26 Maret 2023 - 12:46 WIB",Erfan Erlin,daerah,GUNUNGKIDUL,"GUNUNGKIDUL - Nahas dialami SN (47), warga Dusun Kepek I RT 01/01 Kalurahan Banyusuco Kapanewon Playen, Kabupaten Gunungkidul. Pria tersebut tewas di lokasi kejadian usai terlibat kecelakaan lalu lintas Sabtu (25/3/2023).Kanit Gakum Sat Lantas Polres Gunungkidul, Iptu Darmadi mengatakan, kecelakaan lalu lintas tersebut terjadi Sabtu kemarin sekira pukul 13.00 WIB. Kecelakaan melibatkan sepeda motor Honda Vario AB-2455-MO dengan Mitsubishi truk nopol L-9086-UP.""Kecelakaan itu terjadi di Jalan Umum Wonosari–Yogyakarta, tepatnya di Dusun Gading 2 Kalurahan Gading Kapanewon Playen Kabupaten Gunungkidul,"" ujar dia, Minggu (26/3/2023).Kecelakaan tersebut bermula ketika korban SN mengendarai sepeda motor Honda Vario Nomor Polisi AB-2455-MO berjalan dari arah Yogyakarta/utara melaju menuju ke arah Wonosari/selatan. Sesampainya di tempat kejadian perkara pada jalan beraspal lurus dan datar, ada sebuah truk melaju searah dengan Vario.Truk bernopol L 9086 UP dikemudikan oleh Purwanto. Korban berusaha mendahului melalui sebelah kiri. Namun pada saat mendahului, pengendara Honda Vario hilang keseimbangan dan terjatuh.""Akibatnya korban tertabrak truk yang berjalan dengan arah yang sama Yogyakarta atau utara,"" terangnya.Baca: Hendak Bangunkan Sahur, Perempuan di Gunungkidul Temukan Suami Tergantung di Pohon Belimbing. Akibatnya, korban mengalami luka-luka pada kepala dan mengalami pendarahan (CKB) hingga meninggal dunia di tempat kejadian. Peristiwa tersebut kini ditangani Polres Gunungkidul.  Lihat Juga: Selama Ramadhan, J99 Corp Salurkan 100 Ribu Paket Berbuka Puasa (nag)",https://daerah.sindonews.com/read/1056369/707/nekad-dahului-truk-lewat-sebelah-kiri-pengendara-motor-tewas-terlindas-1679806992
Anggota DPRD Grobogan Tabrak Pemotor hingga Tewas,"Jum'at, 24 Maret 2023 - 16:26 WIB",Rustaman Nusantara,daerah,GROBOGAN,"GROBOGAN - Tabrakan maut terjadi di Kabupaten Grobogan, Jawa Tengah. Anggota DPRD Kabupaten Grobogan, Misbah yang mengendarai mobil, menabrak dua orang yang menaiki satu sepeda motor dari arah berlawanan.  Baca Juga      Minibus Seruduk Kios Pulsa, Bocah 7 Tahun Tewas Terjepit    Pengendara motor yang diketahui bernama Deby Setiawan, warga Desa Godong, Kecamatan Godong, Kabupaten Grobogan, tewas di lokasi tabrakan. Sedangkan satu korban lagi, Agus Wahono berhasil selamat dan hanya mengalami luka ringan.Korban Deby Setiawan sempat terseret mobil yang dikemudikan Misbah bernomor polisi K 484 H, hingga sejauh 10 meter. Laju mobil baru terhenti, setelah menabrak pagar besi yang ada di tepi jalan.  Baca Juga      Wartawan Tewas Bersimbah Darah, Begini Penampakannya saat Olah TKP dan Evakuasi    Salah seorang warga yang menyaksikan tabrakan maut tersebut, Angkik Pradana mengatakan, tabrakan maut terjadi ketika mobil yang dikendarai anggota DPRD itu melaju dari arah barat, dikagetkan dengan adanya sepeda motor yang melaju dari arah timur dan tiba-tiba belok kanan.""Karena posisi mobil dan motor yang terlalu dekat, sepeda motor yang dikendarai kedua korban akhirnya ditabrak mobil. Korban yang mengemudikan motor, sampai terseret mobil dan baru terhenti saat menabrak pagar besi di tepi jalan,"" ungkap Angkik.Kasatlantas Polres Grobogan, AKP Deni Eko Prasetyo mengatakan, masih mengumpulkan keterangan dari beberapa saksi, serta melakukan olah TKP. ""Minibus dan motor yang terlibat tabrakan, sudah dievakuasi untuk kepentingan penyelidikan,"" ungkapnya.Dugaan sementara, tabrakan maut tersebut terjadi akibat kelalaian pengendara sepeda motor yang tidak mematuhi rambu-rambu lalu lintas, dan langsung berbelok ke kanan tanpa memperhatikan ada kendaraan dari arah berlawanan.  Baca Juga      Memalukan! Usai Sahur, 2 Pasangan Pria dan Wanita Berkelahi di Tengah Jalan    Saat tabrakan maut terjadi, situasi jalan dalam kondisi sepi. Korban tewas langsung dibawa ke rumah duka untuk diserahkan ke pihak keluarga. Sementara pengemudi mobil masih dimintai keterangan di Polres Grobogan.  Lihat Juga: Minibus Kontra Sepeda Motor di Lubuk Pakam, Satu Tewas (eyt)",https://daerah.sindonews.com/read/1055077/707/anggota-dprd-grobogan-tabrak-pemotor-hingga-tewas-1679648601
"Dihantam Truk, 2 Pemotor Tewas di Gunungsindur Bogor","Kamis, 23 Maret 2023 - 18:04 WIB",Putra Ramadhani Astyawan,metro,BOGOR,"BOGOR - Dua orang tewas dalam  kecelakaan lalu lintas  yang melibatkan sepeda motor dengan truk di Jalan Raya Pahlawan, Desa Pangasinan, Kecamatan Gunungsindur, Kabupaten Bogor. Seluruh korban tewas merupakan  pemotor  yang dihantam truk dari arah berlawanan. Kapolsek Gunungsindur Kompol Birman Simanulang mengatakan, dua korban tewas yakni, pengendara motor FS (28) berboncengan dengan RP (21). Kecelakaan bermula saat motor melaju dengan kecepatan tinggi. ""Di lokasi kejadian tiba-tiba saja ada truk dari arah berlawanan mencoba menyalip mobil di depannya dan menghindari lubang,"" kata Birman dalam keterangannya, Kamis (23/3/2023).  Baca Juga      Kecelakaan Lalu Lintas, Driver Ojol Tewas Tertancap Gagang Besi Gerobak Pemulung    Akibatnya, truk tersebut menghantam kedua korban hingga terpental beberapa meter. ""Korban FS meninggal dunia di lokasi. Sedangkan RP meninggal dunia di rumah sakit,"" ujarnya.Birman menuturkan, sopir truk telah diamankan petugas guna dimintai keterangan lebih lanjut. ""Barang bukti kendaraan bermotor yang terlibat kecelakaan telah kita amankan. Penyebab kecelakaan masih diselidiki,"" ucapnya.  Lihat Juga: Pedagang Pernak-Pernik Ramadhan di Medan Keluhkan Penjualan Turun Drastis (hab)",https://metro.sindonews.com/read/1054297/170/dihantam-truk-2-pemotor-tewas-di-gunungsindur-bogor-1679565783
"Fakta Baru Syabda Perkasa Sopiri Mobil saat Berangkat dari Rumah, Digantikan sang Ayah di Cikampek","Senin, 20 Maret 2023 - 17:13 WIB",Aryanto,daerah,PEMALANG,"PEMALANG - Fakta baru terungkap bahwa atlet bulu tangkis nasional Syabda Perkasa Belawa sempat sopiri mobil Toyota Camry saat berangkat dari kediamannya di Bekasi. Rombongan berangkat Minggu (19/3/2023) pukul 23.00 WIB.Mobil sedan yang membawa rombongan keluarga itu dikemudikan oleh Syabda dari rumah hingga di rest area Cikampek.  Baca Juga      Kronologi Kecelakaan di Jalan Tol Pemalang-Batang yang Menewaskan Pebulu Tangkis Syabda Perkasa    ""Rombongan berangkat pukul 23.00 WIB dari Bekasi, sampai rest area km 57 Cikampek, Karawang dikemudikan korban. Dari rest area tersebut berganti pengemudi, digantikan bapaknya,"" kata Kapolres Pemalang AKBP Yovan Fatika Handhiska Aprilaya, Senin (20/3/2023).Atlet bulu tangkis nasional Syabda Perkasa Belawa mengalami kecelakaan lalu lintas di Tol Pemalang, Batang, Jawa Tengah, Senin (20/3/2023). Foto/IstKapolres menjelaskan, berdasarkan pengakuan sementara, pengemudi (bapak korban) kondisinya memang mengantuk. ""Sehingga mengalami kecelakaan,"" imbuhnya.Diduga pengemudi mengantuk, kecelakaan itu terjadi di Tol Pemalang KM 315+200 A, Senin (20/3/2023) sekitar pukul 03.40 WIB dini hari. Lokasi kecelakaan lalu lintas berada di wilayah Desa Petanjungan, Kecamatan Petarukan, Kabupaten Pemalang.Yovan mengatakan, saat ini kondisi saksi masih mengalami syok dan trauma yang sangat, sehingg belum bisa untuk dimintai keterangan lebih mendalam.  Baca Juga      Menyentuh, Unggahan IG Terakhir Syabda Perkasa Belawa sebelum Meninggal Kecelakaan    Dalam kecelakaan maut itu, Kapolres menyebut ada 5 orang korban yang semuanya adalah penumpang mobil tersebut.""Kecelakaan terjadi sekira pukul 03.40 WIB dini hari, korban ada 5 orang penumpang. Meninggal dunia di TKP 1 orang (ibunda Syabda), 2 mengalami patah tulang, pengemudi luka ringan, sadar, masih syok, luka ringan,"" ungkapnya.""Satu korban meninggal dunia di rumah sakit inisial S (Syabda), luka berat, dan diketahui adalah atlet bulu tangkis,"" pungkasnya.  Lihat Juga: Syabda Perkasa Belawa Meninggal Dunia Akibat Kecelakaan, PBSI: Dia Atlet yang Tangguh (shf)",https://daerah.sindonews.com/read/1051715/707/fakta-baru-syabda-perkasa-sopiri-mobil-saat-berangkat-dari-rumah-digantikan-sang-ayah-di-cikampek-1679306604
"5 Fakta tentang Cinta Kuya, Anak Artis yang Pernah Kecelakaan Lalu Lintas di Amerika","Senin, 20 Maret 2023 - 13:25 WIB",Tim SINDOnews,lifestyle,JAKARTA,"JAKARTA  - Cinta Kuya, anak pasangan artis Uya Kuya dan Astrid, baru-baru ini terlibat kecelakaan lalu lintas di Amerika Serikat. Diketahui, Cinta saat ini memang tengah menempuh pendidikan di sebuah universitas di Negeri Paman Sam.Dalam insiden tersebut, mobil Cinta ditabrak oleh kendaraan besar yang melaju kencang. Akibatnya, mobil yang dikemudikan Cinta Kuya rusak parah. Uya Kuya mengatakan, setelah kecelakaan itu, mobil anaknya tak bisa diperbaiki. Cinta juga sempat trauma usai mengalami kecelakaan saat itu.Berikut fakta tentang Cinta Kuya usai mengalami kecelakaan, dirangkum pada Senin (20/3/2023).   Baca Juga      Sang Anak Disebut Bau Bawang, Uya Kuya Labrak Denise Chariesta    1. Alami Trauma Pasca KecelakaanMenurut Uya Kuya, Cinta mengalami trauma setelah mengalami kecelakaan mobil. Cinta juga sempat tidak mau menyetir mobil selama sebulan.“Trauma karena dia masih belum bisa mengemudi. Kalau dia tidak bisa menyetir, jangan masuk ke dalam mobil,"" kata Uya.""Setelah tabrakan, dia tidak berani mengemudi selama sebulan. Dia bawa Uber ke mana-mana, karena tidak punya mobil,"" lanjutnya. 2. Kondisi CintaPada kecelakaan tersebut, Cinta Kuya mengalami benturan di kaki. Cinta juga sempat mengalami pusing hingga mengalami kesulitan tidur usai kecelakaan tersebut. Meski begitu, Uya menegaskan bahwa sang anak tidak mengalami cedera serius.""Dia masih harus ke dokter seminggu tiga kali sampai dua bulan. Ini sudah bulan kedua dan Maret ini MRI lagi,"" ujar Kuya.  Baca Juga      Kesal Putrinya Disebut Bau Bawang oleh Denise Chariesta, Uya Kuya: di Mana Akal Sehatnya?    3. Mobil Rusak ParahUya Kuya menyebut, mobil yang dikemudikan Cinta tak bisa diperbaiki akibat kecelakaan itu. Namun, ia bersyukur ada asuransi yang memberikan kompensasi. ""Asuransi habis, mobil hilang, diganti, tidak bisa diperbaiki karena tertabrak mobil besar,"" kata Uya Kuya, belum lama ini.4. Sudah Ganti MobilMeski trauma dan tidak mau mengemudi, Cinta Kuya perlahan mencoba mengemudi kembali. ""Jadi Cinta harus pakai mobil lama saya kemarin, itu mobil antik, sudah tua, sudah jadul. Jadi dia pakai, dia tidak bisa ngebut,"" kata Uya Kuya.""Baru kemarin, dia baru saja membeli mobil lain, mobil bekas, dan dia membelinya dengan uang sendiri,"" tambahnya. 5. Boleh Kembali MengemudiAstrid Kuya menambahkan, Cinta kini sudah bisa menyetir kembali. Namun, dia mengingatkan sang anak untuk berhati-hati saat mengemudi.“Ya, semoga tidak terjadi lagi. Kami memintanya untuk mengemudi dengan aman. Kalaupun posisi mobilnya tertabrak, kita tetap harus hati-hati,” kata Astrid. MG/Tazakka Artesa Hidayat  Lihat Juga: 5 Fakta tentang Cinta Kuya, Anak Artis yang Pernah Kecelakaan Lalu Lintas di Amerika (tsa)",https://lifestyle.sindonews.com/read/1051439/187/5-fakta-tentang-cinta-kuya-anak-artis-yang-pernah-kecelakaan-lalu-lintas-di-amerika-1679288584
Penampakan Mobil Syabda Perkasa Belawa yang Ringsek setelah Tabrak Truk di Tol Pemalang,"Senin, 20 Maret 2023 - 13:05 WIB",Suryono Sukarno,daerah,PEMALANG,"PEMALANG - Mobil sedan Camry yang dinaiki atlet bulu tangkis nasional Syabda Perkasa Belawa mengalami kecelakaan lalu lintas di Tol Pemalang, Batang, Jawa Tengah, Senin (20/3/2023). Mobil nomor polisi B 1824 KBN yang ditumpangi Syabda menabrak bagian belakang truk hingga ringsek.Kerasnya benturan saat kecelakaan mengakibatkan Syabda Perkasa Belawa (22) dan ibunya, Anik Sulistyowati (48) meninggal dunia usai terlibat kecelakaan di Tol Pemalang, Batang, Jawa Tengah, Senin (20/3/2023).  Baca Juga      Detik-detik Atlet Bulu Tangkis Syabda Perkasa dan Ibunda Tewas Kecelakaan di Tol Pemalang    Kanit Turjawali Lantas Pemalang, Iptu Dwi Harmono menjelaskan, kecelakaan terjadi di jalur tol Pemalang-Batang Km 315 arah Jakarta ke Semarang. Selain mengakibatkan Syabda Perkasa Belawa (22) dan ibunya, Anik Sulistyowati (48) tewas, kecelakaan juga mengakibatkan tiga orang terluka.Ketiganya yakni, Muanis (49), yang merupakan ayah korban, Diana Sakti Anistyawati (25), dan Tahta Bathari Cahya Loka (11).""Sopir sedan Camry nopol B 1824 KBN, Muanis diduga mengantuk menabrak truk AG 8711 V yang disopiri Ari Wibowo warga Nganjuk, Jatim,"" ujarnya.  Baca Juga      Kronologi Kecelakaan di Jalan Tol Pemalang-Batang yang Menewaskan Pebulu Tangkis Syabda Perkasa    Pelaksana Administrasi Jasa Raharja Pemalang, Trian Gunawan menyenbutkan, tiga penumpang lainnya mengalami luka-luka dan kini masih mendapatkan perawatan medis.Jenazah Sabda dan ibunya selanjutnyadibawa ke Sragen untuk dimakamkan.  Lihat Juga: Prestasi Syabda Perkasa Belawa, Pahlawan Indonesia di Piala Thomas 2022 (shf)",https://daerah.sindonews.com/read/1051447/707/penampakan-mobil-syabda-perkasa-belawa-yang-ringsek-setelah-tabrak-truk-di-tol-pemalang-1679292201
Detik-detik Atlet Bulu Tangkis Syabda Perkasa dan Ibunda Tewas Kecelakaan di Tol Pemalang,"Senin, 20 Maret 2023 - 12:40 WIB",Suryono Sukarno,daerah,PEMALANG,"PEMALANG - Atlet pebulu tangkis nasional Syabda Perkasa Belawa dan ibunya meninggal dunia usai terlibat kecelakaan lalu lintas di Tol Pemalang, Batang, Jawa Tengah, Senin (20/3/2023). Mobil yang ditumpangi Syabda menabrak bagian belakang truk.Atlet pebulutangkis nasional Syabda Perkasa Belawa dan ibunya meninggal dunia usai mobilnya terlibat kecelakaan di Tol Pemalang, Batang, Senin (20/3/2023). Foto/IstSyabda Perkasa Belawa (22), dan ibunya Anik Sulistyowati (48) meninggal dunia akibat mobil sedan Camry yang ditumpangi menabrak bagian belakang truk.  Baca Juga      Kronologi Kecelakaan di Jalan Tol Pemalang-Batang yang Menewaskan Pebulu Tangkis Syabda Perkasa    Kanit Turjawali Lantas Pemalang, Iptu Dwi Harmono menjelaskan, kecelakaan terjadi di jalur tol Pemalang-Batang Km 315 arah Jakarta ke Semarang. Korban luka-luka yakni, Muanis (49), yang merupakan ayah korban, Diana Sakti Anistyawati (25), dan Tahta Bathari Cahya Loka (11).""Sopir sedan Camry nopol B 1824 KBN, Muanis diduga mengantuk menabrak truk AG 8711 V yang disopir Ari Wibowo warga Nganjuk, Jatim,"" ujarnya.  Baca Juga      Pebulu Tangkis Indonesia Syabda Perkasa Belawa Meninggal Dunia Akibat Kecelakaan    Pelaksana Administrasi Jasa Raharja Pemalang, Trian Gunawan menyenbutkan, tiga penumpang lainnya mengalami luka-luka dan kini masih mendapatkan perawatan medis.Sedangkan jenazah Sabda dan ibunya rencananya akan dibawa ke Sragen untuk dimakamkan.  Lihat Juga: Prestasi Syabda Perkasa Belawa, Pahlawan Indonesia di Piala Thomas 2022 (shf)",https://daerah.sindonews.com/read/1051429/707/detik-detik-atlet-bulu-tangkis-syabda-perkasa-dan-ibunda-tewas-kecelakaan-di-tol-pemalang-1679288598
Kronologi Kecelakaan di Jalan Tol Pemalang-Batang yang Menewaskan Pebulu Tangkis Syabda Perkasa,"Senin, 20 Maret 2023 - 11:09 WIB",Nanang Sobirin,daerah,PEMALANG,"PEMALANG - Kecelakaan lalu lintas antara truk dan sedan Camry terjadi di Jalan Tol Batang- Pemalang, Senin (20/3/2023). Akibat kecelakaan tersebut, dua korban meninggal dunia . Salah satu korban diketahui bernama Syabda Perkasa Belawa yang merupakan pebulu tangkis Indonesia.Saat kecelakaan, korban berada di dalam sedan Camry bersama penumpang lainnya. Meski sempat mendapat perawatan di rumah sakit, namun nyawa Pebulu Tangkis Syabda Perkasa tak tertolong.Dari laporan pihak kepolisian, kecelakaan tragis itu bermula saat Toyota Camry Nopol B 1824 KBN berjalan dari arah Jakarta menuju Semarang di lajur cepat.Baca: Pebulu Tangkis Indonesia Syabda Perkasa Belawa Meninggal Dunia Akibat Kecelakaan. Sesampainya di KM 315 +200 A pengemudi mengantuk, sehingga hilang konsentrasinya dalam mengemudi. Kemudian mobil oleng ke kiri menabrak bagian belakang samping kanan truk bernomor polisi AG 8711 V yang melaju di lajur lambat dan terdorong berhenti di bahu jalan. Kecelakaan pun tak terhidarkan.  Lihat Juga: Menyentuh, Unggahan IG Terakhir Syabda Perkasa Belawa sebelum Meninggal Kecelakaan (nag)",https://daerah.sindonews.com/read/1051357/707/kronologi-kecelakaan-di-jalan-tol-pemalang-batang-yang-menewaskan-pebulu-tangkis-syabda-perkasa-1679285015
Kronologi Kecelakaan di Jalan Tol Pemalang-Batang yang Menewaskan Pebulu Tangkis Syabda Perkasa,"Senin, 20 Maret 2023 - 11:09 WIB",Nanang Sobirin,daerah,PEMALANG,"PEMALANG - Kecelakaan lalu lintas antara truk dan sedan Camry terjadi di Jalan Tol Batang- Pemalang, Senin (20/3/2023). Akibat kecelakaan tersebut, dua korban meninggal dunia . Salah satu korban diketahui bernama Syabda Perkasa Belawa yang merupakan pebulu tangkis Indonesia.Saat kecelakaan, korban berada di dalam sedan Camry bersama penumpang lainnya. Meski sempat mendapat perawatan di rumah sakit, namun nyawa Pebulu Tangkis Syabda Perkasa tak tertolong.Dari laporan pihak kepolisian, kecelakaan tragis itu bermula saat Toyota Camry Nopol B 1824 KBN berjalan dari arah Jakarta menuju Semarang di lajur cepat.Baca: Pebulu Tangkis Indonesia Syabda Perkasa Belawa Meninggal Dunia Akibat Kecelakaan. Sesampainya di KM 315 +200 A pengemudi mengantuk, sehingga hilang konsentrasinya dalam mengemudi. Kemudian mobil oleng ke kiri menabrak bagian belakang samping kanan truk bernomor polisi AG 8711 V yang melaju di lajur lambat dan terdorong berhenti di bahu jalan. Kecelakaan pun tak terhidarkan.  Lihat Juga: Menyentuh, Unggahan IG Terakhir Syabda Perkasa Belawa sebelum Meninggal Kecelakaan (nag)",https://daerah.sindonews.com/read/1051357/707/kronologi-kecelakaan-di-jalan-tol-pemalang-batang-yang-menewaskan-pebulu-tangkis-syabda-perkasa-1679285015
"Riskan Kecelakaan, Pemerintah Imbau Masyarakat Tidak Mudik Naik Motor","Minggu, 19 Maret 2023 - 20:00 WIB",Heri Purnomo,ekbis,JAKARTA,"JAKARTA - Pemerintah mengimbau kepada masyarakat untuk tidak mudik menggunakan sepeda motor karena riskan terjadi kecelakaan di jalan. Perjalanan panjang akan mengakibatkan kelelahan hingga mengantuk saat berkendara.""Kami mengimbau jangan mudik naik motor karena menurut laporan kepolisian jumlah dari pengguna sepeda motor berbanding kurus dengan kecelakaan,"" ungkap Menteri Perhubungan (Menhub) Budi Karya Sumadi saat konfrensi pers virtual, Minggu (19/3/2023).  Baca Juga      Dua Cara Mudik Lebaran 2023 Gratis Menggunakan Hyundai Stargazer    Dia mengajak masyarakat ikut mudik gratis bersama Kementerian Perhubungan (Kemenhub). Pihaknya menyiapkan minimal 600 bus. ""Saya lagi minta dirjen darat untuk menambah,"" kata dia.Tak hanya itu, Kementerian Perhubungan (Kemenhub) juga akan membuka pendaftaran mudik gratis menggunakan kapal laut untuk tujuan Pelabuhan Tanjung Priok-Pelabuhan Tanjung Emas Semarang, Jawa Tengah. Pendaftaran mulai dibuka pada 20 April hingga 7 April 2023. Adapun pendaftaran mudik gratis tersebut bisa dilakukan melalui sistem online mulai tanggal 20 Maret - 7 April sedangkan pendataan offline bisa dilakukan di Kantor Pusat Kemenhub, dan Terminal Penumpang Nusantara, Pelabuhan Tanjung Priok pada tanggal 22 Maret - 7 April.Lihat Foto: Kemenhub Buka Pendaftaran Mudik Kereta Massal pada 1 April 2023 Berdasarkan laporan Kemenhub, kuota yang disediakan mudik gratis sebanyak 10.000 orang dan 5.000 unit sepeda motor. Terbagi dalam 5.000 orang arus mudik, 5000 orang arus balik. Syarat dokumen yang dibutuhkan, yakni KTP, SIM C, STNK, dan Kartu Keluarga (KK) asli.  Lihat Juga: Selama Ramadhan, J99 Corp Salurkan 100 Ribu Paket Berbuka Puasa (nng)",https://ekbis.sindonews.com/read/1050977/34/riskan-kecelakaan-pemerintah-imbau-masyarakat-tidak-mudik-naik-motor-1679227400
