kota,count
Jakarta,1191
Bandung,121
Surabaya,110
Bogor,90
Bekasi,67
Sukabumi,64
Medan,62
Solo,58
Tabanan,55
Semarang,54
Jembrana,45
Jombang,45
Makassar,42
Mojokerto,42
Ciamis,38
Denpasar,36
Depok,35
Tangerang,32
Tasikmalaya,32
Boyolali,27
Subang,23
Klaten,22
Sidoarjo,21
Badung,21
Buleleng,21
Lamongan,20
Purwakarta,20
Pekanbaru,19
Kulon Progo,19
Cianjur,18
Jambi,17
Karawang,17
Banyuwangi,17
Bali,17
Tangerang Selatan,15
Probolinggo,15
Gresik,15
Tulungagung,15
Bantul,14
Cirebon,14
Blitar,14
Tuban,13
Kudus,13
Bandung Barat,12
Malang,12
Cimahi,11
Pemalang,11
Wonogiri,10
Sragen,10
Sumedang,10
Pangandaran,10
Asahan,9
Sinjai,9
Dogiyai,9
Pasuruan,9
Palembang,8
Serang,8
Kupang,8
Sleman,8
Rembang,8
Jember,7
Sumbawa Barat,7
Minahasa Selatan,7
Pati,6
Karangasem,6
Karanganyar,6
Magetan,6
Pinrang,6
Brebes,6
Bojonegoro,6
Indramayu,5
Padang,5
Jayapura,5
Garut,5
Sukoharjo,5
Pandeglang,5
Gianyar,5
Magelang,5
Bone,5
Polewali Mandar,5
Kota Blitar,4
Wajo,4
Deli Serdang,4
Madiun,4
Blora,4
Pekalongan,4
Mataram,4
Ngawi,4
Binjai,4
Balikpapan,4
Luwu,4
Trenggalek,3
Takalar,3
Banjarnegara,3
Kuningan,3
Majalengka,3
Kediri,3
Gunungkidul,3
Mamuju,3
Kab Semarang,3
Gowa,3
Manokwari,3
Labuhanbatu,3
Salatiga,3
Bangkalan,3
Serdang Bedagai,3
Barru,3
Cilegon,3
Minahasa Utara,3
Blitar ,3
Parepare,3
Batang,3
Kabupaten Magelang,3
Luwu Timur,3
Lima,2
Kendal,2
Klungkung,2
Kutai Kartanegara,2
Batam,2
Nganjuk,2
Kota Probolinggo,2
Situbondo,2
Kota Mojokerto,2
Lombok Barat,2
Muaro Jambi,2
Enrekang,2
Kabupaten Bandung,2
Maros,2
Soppeng,2
Ponorogo,2
Grobogan,2
Kabupaten Sukabumi,2
Bengkulu,2
Samarinda,2
Manado,2
Labuan Bajo,2
Kendari,2
Kota Bogor,2
Simalungun,2
Bitung,2
Sumenep,1
Sidaorjo,1
Tanah Karo,1
Lubukpakam,1
Lombok Utara,1
Padang Lawas Utara,1
Gresik ,1
Mimika,1
Kotapinang,1
Demak,1
Sidenreng Rappang,1
Kisaran,1
Sikka,1
Asahan ,1
Lombok Timur,1
Sumbawa,1
Padang Pariaman,1
Flores Timur,1
Sampang,1
Baghdad,1
Pematangsiantar,1
 Bogor,1
Bondowoso,1
Cikarang,1
Semarangq,1
Jogja,1
Muara Enim,1
Sidrap,1
Kuala Lumpur,1
Kampala,1
Kabupaten Pekalongan,1
Kabupaten Tasikmalaya,1
Gunung Putri,1
Dakar,1
 Denpasar,1
Bandar Lampung,1
Palopo,1
Kota Malang,1
Banyumas,1
Tangsel,1
Bogota,1
Lombok Tengah,1
Selangor,1
Tanah Datar,1
Sukabumi ,1
Kota Kediri,1
Mekkah,1
Kolaka Utara,1
Kabupaten Tangerang,1
Tapanuli Utara,1
Purworejo,1
Palangkaraya,1
Rembang ,1
Kabupaten Semarang,1
Banyuasin,1
Hulu Sungai Tengah,1
Banjar,1
Wonogiri ,1
Cilacap,1
Beijing,1
Istanbul,1
Manggarai,1
Washington,1
Pidie Jaya,1
Boyolalil,1
Lebak,1
Batu Bara,1
Athena,1
Tana Toraja,1
Kabupaten Bogor,1
Pacitan,1
Peru,1
Negara,1
Kota Pasuruan,1
Tanjungbalai,1
Banda Aceh,1
