id,hari,tanggal,bulan,tahun,judul,kota,deteksi_kendaraan,model_kendaraan,kondisi
6646815,Kamis,30,3,2023.0,Jabar Hari Ini: Sakit Hati Dua Pemain Muda Persib,Bandung,"mobil, motor, truk",sedan,tewas
6647430,Kamis,30,3,2023.0,Waka DPRD Tanjabbar Tinggalkan TKP Usai Mobil Dinas Tabrak ABG hingga Tewas,Jambi,"mobil, motor",sedan,tewas
6647008,Kamis,30,3,2023.0,Pemotor Mabuk Tabrak 3 Anggota Satpol PP Surabaya Jadi Tersangka,Surabaya,motor,sedan,
6646405,Kamis,30,3,2023.0,Fakta Viral Pria Tergeletak dengan Wajah Tersayat di Flyover Bandung,Bandung,motor,sedan,
6646302,Kamis,30,3,2023.0,"Aksi Nekat Pemotor Blayer-Potong Konvoi Presiden, Awas Bisa Dilumpuhkan!",Jakarta,"mobil, motor, truk",sedan,selamat
6646237,Kamis,30,3,2023.0,"Truk Sampah Tabrak Pemotor di Ciamis, Satu Orang Tewas",Ciamis,"mobil, motor, truk",sedan,
6646081,Kamis,30,3,2023.0,Heboh Pemotor Knalpot Brong Potong-Blayer Iring-iringan Presiden,Jakarta,"mobil, motor","sedan, taksi",
6646012,Kamis,30,3,2023.0,Mobil Pikap Tabrak Pejalan Kaki hingga Tewas di Jalan Gatsu Timur,Denpasar,"mobil, motor",pikap,"tewas, cedera"
6645441,Rabu,29,3,2023.0,"Ngeri Kecelakaan Angkot Vs Truk di Bogor, Sopir Terjepit di Ruang Kemudi",Bogor,"motor, truk, bus","kontainer, sedan, angkot",tewas
6644826,Rabu,29,3,2023.0,"Pelajar SMA Tewas Ditabrak Mercy di Jaksel, Begini Penjelasan Polisi",Jakarta,"mobil, motor",sedan,tewas
6644563,Rabu,29,3,2023.0,Waspada Mudik Bawa Kendaraan! 80% Kecelakaan Terjadi karena Kelelahan,Jakarta,mobil,,selamat
6644310,Rabu,29,3,2023.0,"Heboh Sopir Ambulans Kabur Usai Tabrak Innova di Karanganyar, Ini Kata Polisi",Karanganyar,mobil,,
6643062,Selasa,28,3,2023.0,Sigra Terbalik Setelah Oleng-Serempet 2 Kendaraan di Arteri Jombang,Jombang,"mobil, motor, truk",,"tewas, selamat"
6642694,Selasa,28,3,2023.0,'Adu Banteng' Jadi Jenis Kecelakaan Lalu Lintas Terbanyak di Indonesia,Jakarta,"mobil, truk",,tewas
6641290,Senin,27,3,2023.0,"Pemotor Keluar Jalur Terjun Bebas dari Jembatan, Diduga Mengantuk",Tabanan,"mobil, motor",,
6640998,Senin,27,3,2023.0,"Duh! Diduga Main HP Sambil Berkendara, Kepala Ojol Hampir Terlindas Truk",Jakarta,"mobil, motor, truk",sedan,
6639965,Senin,27,3,2023.0,"Polresta Denpasar Tilang 43 WNA Pelanggar Lalu Lintas, Mayoritas Asal Rusia", Denpasar,motor,sedan,selamat
6639576,Senin,27,3,2023.0,"Separator Pecah Berhamburan di Jalan, Flyover Pesing Sempat Ditutup",Jakarta,"truk, bus",,
6639520,Senin,27,3,2023.0,"Truk Gangguan di Bahu Jalan, Lalin Tol Jagorawi arah Jakarta Padat",Jakarta,truk,,
6639510,Senin,27,3,2023.0,"Truk Tangki Tabrak Truk Tanah di Tol Japek Arah Karawang, Lalin Macet",Jakarta,truk,,tewas
6639173,Minggu,26,3,2023.0,"2 Pelajar SMP Boncengan Motor Tabrak Truk di Parepare, 1 Orang Tewas",Parepare,"mobil, motor, truk",sedan,tewas
6639018,Minggu,26,3,2023.0,Ngeri! Setiap Jam Ada 3-4 Orang Meninggal di Jalan Raya,Jakarta,"mobil, motor, truk, bus",,
6639007,Minggu,26,3,2023.0,Polisi di Soppeng Sita 11 Motor Balap Liar saat Ramadan,Soppeng,motor,,
6638898,Minggu,26,3,2023.0,"Dialami Hermanto Dardak sampai Syabda Perkasa, Ngerinya Tabrak Belakang Truk",Jakarta,"mobil, motor, truk",sedan,"tewas, cedera, selamat"
6638283,Minggu,26,3,2023.0,Sikap Tegas Polisi Tangani Balap Liar di Sulawesi saat Bulan Ramadan,Makassar,motor,,
6638124,Sabtu,25,3,2023.0,"Pegawai PN Jakbar Kecelakaan di Tangerang, Ada Luka Sobek di Bahu",Jakarta,motor,,
6638037,Sabtu,25,3,2023.0,Polisi Ungkap Pelanggaran Remaja Tabrak Vito hingga Tewas di Semarang,Semarang,"mobil, motor","sedan, pikap","tewas, kritis, cedera"
6638023,Sabtu,25,3,2023.0,"Braakk! 2 Remaja Trenggalek Kecelakaan Motor di Tulungagung, 1 Orang Tewas",Tulungagung,"motor, truk",sedan,tewas
6637791,Sabtu,25,3,2023.0,"Catat, 5 Jalan di Gresik Ini Sering Padat Jelang Buka Puasa",Gresik,"bus, kereta",,
6637034,Sabtu,25,3,2023.0,"H-7 Lebaran, Polisi Bakal Batasi Truk Lewat Jalan Maros-Bone di Camba",Maros,"motor, truk",,
