,id,hari,tanggal,bulan,tahun,judul,kota,label,penulis,deskripsi
0,6646815,Kamis,30,3,2023,Jabar Hari Ini: Sakit Hati Dua Pemain Muda Persib,Bandung,detikJabar,Tim detikJabar, Beragam peristiwa terjadi di Jawa Barat (Jabar) hari ini Kamis (30/3/2023). Mulai dari sakit hati dua punggawa Persib atas gagalnya Piala Dunia U
1,6647430,Kamis,30,3,2023,Waka DPRD Tanjabbar Tinggalkan TKP Usai Mobil Dinas Tabrak ABG hingga Tewas,Jambi,detikSumut,Ferdi Almunanda," ABG bernama Siti Nuanisa (17) tewas usai motor yang dibawanya ditabrak mobil dinas Wakil Ketua DPRD Tanjung Jabung Barat (Tanjjabbar), Sjafril Simamora. Usai kecelakaan maut itu, Sjafril langsung meninggalkan lokasi kejadian.Kasat Lantas Polres Tanjung Jabung Timur Jambi, Iptu Agung Prasetyo Soegiono mengatakan usai kejadian kecelakaan tersebut, Sjafril Simamora langsung berangkat pergi menuju bandara.""Kalau pas kejadian, Wakil Ketua DPRD Tanjabbar nya itu tidak ada di TKP ya, infonya dia langsung pergi menuju ke bandara karena tujuannya kan awal memang mau ke bandara,"" kata Iptu Agung kepada detikSumut, Kamis (30/3/2023).                Agung juga menyebutkan, saat ini sopir dari mobil Fortuner itu sudah diamankan. Sopir itu kini sudah berada di Polres Tanjabtim Jambi untuk dimintai keterangan dan pemeriksaan.""Kalau untuk sopirnya sudah kita amankan ya, karena dia yang membawa kendaraan itu makanya kita amankan saat ini,"" ujar Agung.Baca juga: Fortuner Ditumpangi Waka DPRD Tanjabbar Tabrak Pengendara Motor, 1 TewasJasad Siti sudah dibawa ke rumah duka sedangkan korban bernama Dea Asmarani (18) saat ini masih dalam perawatan di rumah sakit karena alami luka"
2,6647094,Kamis,30,3,2023,Jalan Raya Casablanca Jakarta Macet di Kedua Arah,Jakarta,detikNews,Jabbar Ramdhani," Kemacetan terjadi di Jalan Raya Casablanca, Jakarta Selatan (Jaksel). Kemacetan terjadi pada kedua arah.""(Betul, macet) Di kedua arah, biasanya karena jam pulang kerja,"" kata petugas call center NTMC Polri, Anton, saat dihubungi, Kamis (30/3/2023), pukul 18.31 WIB.Kondisi lalu lintas di kedua ruas Jalan Raya Casablanca dilaporkan cukup padat. Diduga kemacetan terjadi karena peningkatan volume kendaraan.                Baca juga: Ini Alasan Tersangka Utama Mafia Travel Umrah Ubah Nama Jadi 'Abi'Belum ada laporan terkait faktor pemicu kepadatan lalu lintas lainnya seperti kecelakaan atau gangguan kendaraan.""Jalan Casablanca biasanya dilewati untuk menghindari ganjil genap, jadi terjadinya peningkatan volume kendaraan,"" ucap dia.Kepadatan lalu lintas di Jalan Raya Casablanca berimbas pada jalan lain yang terhubung dengan ruas jalan tersebut seperti Jalan Prof DR Soepomo dan Jalan Dr Saharjo.Baca juga: Jalan Gatsu Arah Cawang Tergenang Air, Lalin Macet!Untuk kondisi di Jalan Prof DR Soepomo kemacetan terjadi dari Pancoran arah Tebet. Pada arah sebaliknya, kepadatan juga terjadi dari persimpangan Jalan Minangkabau Timur hingga persimpangan Jalan Prof DR Soepomo dengan Jalan Tebet Raya.""Ramai lancar untuk arah Pancoran dan arah Tanah Abang,"" katanya.(jbr/aik)kemacetan jakarta jalan raya casablanca jabodetabek "
3,6647008,Kamis,30,3,2023,Pemotor Mabuk Tabrak 3 Anggota Satpol PP Surabaya Jadi Tersangka,Surabaya,detikJatim,Deny Prastyo," Polisi telah menetapkan pemotor berinisial RA (21) yang berkendara dalam keadaan mabuk hingga menabrak 3 anggota Satpol PP Kota Surabaya sebagai tersangka. Hingga saat ini, RA masih menjalani perawatan akibat kecelakaan itu.Kasatlantas Polrestabes Surabaya AKBP Arif Fazlurrahman mengatakan bahwa RA telah ditetapkan sebagai tersangka baru"
4,6646405,Kamis,30,3,2023,Fakta Viral Pria Tergeletak dengan Wajah Tersayat di Flyover Bandung,Bandung,detikJabar,Rifat Alhamidi," Polisi memastikan video viral yang memperlihatkan seorang pria tergeletak bersimbah darah di Flyover Kiaracondong, Kota Bandung bukan korban begal. Pria tersebut merupakan korban kecelakaan lalu lintas yang membuatnya mengalami luka sobek di bagian bibir.Kanit Gakkum Polrestabes Bandung AKP Arif Saepul Haris mengatakan, dari hasil penelusuran, kecelakaan itu terjadi pada Selasa (28/3/2023) sekitar pukul 00.30 WIB. Adapun pria yang tergeletak bersimbah darah itu bernama Akbar.""Korbannya sudah dilarikan ke RSHS Bandung,"" katanya saat dikonfirmasi wartawan, Kamis (30/3/2023).                Baca juga: Viral Lelaki Tergeletak di Flyover Bandung dengan Luka di WajahSaat itu, Akbar yang sedang membonceng David sedang melaju dari arah utara ke selatan. Sesampainya di Flyover Kiaracondong, motor yang dikemudikan Akbar menabrak bagian belakang sepeda motor yang dikendarai Mufid.Akbar kemudian mengalami luka sobek di bibir karena terkena spion motornya. Sementara rekan Akbar, David, mengalami luka ringan.""Jadi bukan begal. Itu korbannya sobek bibirnya kena spion,"" ucapnya.Arif memastikan peristiwa tersebut masih dalam penanganan pihak kepolisian unit Gakkum Satlantas Polrestabes Bandung. Ia mengimbau masyarakat Kota Bandung selalu berhati hati dan waspada dalam berkendara.""Patuhi aturan lalu lintas serta lengkapi surat"
5,6646302,Kamis,30,3,2023,"Aksi Nekat Pemotor Blayer-Potong Konvoi Presiden, Awas Bisa Dilumpuhkan!",Jakarta,detikOto,Tim detikcom," Viral di media sosial pemotor di Makassar, Sulawesi Selatan melakukan aksi nekat memotong jalur konvoi Presiden Joko Widodo. Bahkan dia tepat melintas di depan mobil dinas Jokowi sambil ngeblayer atau menggeber gas motor.Dalam video yang beredar di media sosial, kejadian itu berada di Jalan Gunung Bawakaraeng, Makassar, Rabu (29/3) lalu. Mulanya rombongan motor gede pengawal presiden melintas terlebih dahulu. Setelahnya pemotor matic dengan knalpot brong tanpa helm itu memotong jalur konvoi presiden. Mobil presiden terlihat memperlambat kecepatan karena aksi mendadak pria tersebut.""Ih deh, nyaris lagi mobilnya Pak Jokowi. Astaga,"" terdengar seorang wanita dalam video kaget melihat insiden itu.                Baca juga: Umur 3 Tahun Dulu Kamu Ngapain? Bocah Ini Geber Ferrari di SirkuitKasubag Humas Polrestabes Makassar Kompol Lando tak menampik insiden tersebut. Namun saat ditanya apakah pemotor itu diamankan di Polrestabes Makassar, Kompol Lando mengaku belum tahu banyak hal.""Belum tahu, belum tahu di mana diamankan,"" ujar Kompol Lando dilansir detikSulsel, Kamis (30/3/2023).Dari kacamata keselamatan berkendara, aksi nekat yang menghalangi konvoi presiden itu bisa dikategorikan ancaman bagi konvoi Presiden Joko Widodo.""Karena ini konteksnya presiden, untung dia tidak dilumpuhkan. Sama saja kayak kita masuk ke ring satu, bisa dilumpuhkan kalau kita tidak diizinkan. Karena bisa diduga itu adalah bagian dari strategi penyerangan (terhadap presiden),"" ucap Pakar keselamatan berkendara, Instruktur dan Founder Jakarta Defensive Driving Consulting (JDDC)Jusri Pulubuhu, beberapa waktu yang lalu.Baca juga: Viral Rombongan RI 2 Ngalah ke Ambulans, Mobil Pribadi Berstrobo Harusnya Malu!""Kalau di luar negeri bisa dilumpuhkan kalau dianggap menghalang"
6,6646237,Kamis,30,3,2023,"Truk Sampah Tabrak Pemotor di Ciamis, Satu Orang Tewas",Ciamis,detikJabar,Dadang Hermansyah, Truk sampah milik Pemda Ciamis Z 8084 T terlibat kecelakaan dengan sepeda motor Z 3432 NN di Jalan Raya Cisaga
7,6646081,Kamis,30,3,2023,Heboh Pemotor Knalpot Brong Potong-Blayer Iring-iringan Presiden,Jakarta,detikOto,Tim detikcom, Sebuah video di media sosial memperlihatkan aksi pemotor memotong iring
8,6646012,Kamis,30,3,2023,Mobil Pikap Tabrak Pejalan Kaki hingga Tewas di Jalan Gatsu Timur,Denpasar,detikBali,I Wayan Sui Suadnyana," Sebuah mobil pikap menabrak pejalan kaki bernama Rikardus Riki Nguru (22) di Jalan Gatot Subroto (Gatsu) Timur, Kecamatan Denpasar Timur, Kota Denpasar, Bali. Akibatnya, Rikardus tewas di tempat.""(Korban) mengalami luka cedera kepala berat, meninggal di TKP (tempat kejadian perkara),"" kata Kepala Seksi Hubungan Masyarakat (Kasi Humas) Polresta Denpasar AKP I Ketut Sukadi dalam keterangannya kepada detikBali, Kamis (30/3/2023).Baca juga: 2 Pemotor Tabrakan di Denpasar, 1 Pengendara TewasRikardus merupakan pria kelahiran Jawang, Desa Golo Kantar, Kecamatan Borong, Kabupaten Manggarai Timur, Nusa Tenggara Timur (NTT). Ia tinggal di Jalan Akasia Nomor 16B, Kota Denpasar.                Sukadi menjelaskan insiden mobil pikap yang menabrak pejalan kaki tersebut terjadi pada Rabu (29/3/2023) sekitar pukul 19.30 Wita. Polisi menerima laporan kecelakaan lalu lintas itu sekitar pukul 20.30 Wita.Informasi yang dihimpun, mobil merek Suzuki pikap awalnya bergerak dari timur ke barat di Jalan Gatsu Timur, Kota Denpasar. Ketika itu, Rikardus di lokasi yang sama berjalan untuk menyeberang dari arah selatan menuju utara.""Setibanya di TKP pengemudi mobil pikap mendahului pengemudi mobil lain sehingga terjadi tabrakan,"" ungkap Sukadi.Baca juga: Polresta Denpasar Tilang 43 WNA Pelanggar Lalu Lintas, Mayoritas Asal RusiaPolisi telah mengantongi tanda nomor kendaraan bermotor (TNKB) mobil penabrak. Polisi kini tengah melakukan penyelidikan terhadap pengemudi pikap tersebut.""Pengemudi mobil pikap DK"
9,6645626,Kamis,30,3,2023,Sejumlah Titik di Tol JORR Arah Jakarta Macet Pagi Ini,Jakarta,detikNews,Yulida Medistiara," Lalu lintas di Tol JORR tepatnya di Ulujami arah Kembangan mengalami kepadatan. Hal itu terjadi karena adanya penanganan kecelakaan.""Untuk informasi sendiri dari Ulujami ke arah Kembangan benar ini sedang ada penanganan kecelakaan di sekitar KM 15+400,"" kata petugas call center Jasa Marga, Diah, saat dihubungi, Kamis (30/3/2023).Namun diinformasikan saat ini kendaraan yang terlibat kecelakaan sudah dievakuasi ke bahu jalan. Sementara itu belum diketahui kendaraan apa saja yang terlibat kecelakaan, namun Jasa Marga menyebut 2 kendaraan mengalami tabrakan di lokasi tersebut.                ""Untuk kendaraannya belum ada informasi dari ruas Tol terkait, tapi memang melibatkan 2 kendaraan,"" ujarnya.Baca juga: Jakarta Macet, Jokowi: Terlambat 30 Tahun Bangun Transportasi PublikSelanjutnya lalu lintas ke arah Jakarta setelah melewati lokasi kecelakaan tersebut kembali lancar.Sementara itu, lalu lintas Tol JORR dari arah Kampung Rambutan arah Gedong mengalami kemacetan. Selain itu titik kepadatan lainnya ada di Tanjung Barat arah ke Pasar Minggu akibat adanya kepadatan volume kendaraan.""Saat ini informasinya terpantau ada kepadatan di sekitaran Kampung Rambutan sampai arah Gedong, padat kembali di sekitar Tanjung Barat sampai Pasar Minggu menyambung kepadatan sampai dengan ke arah Fatmawati,"" katanya.Jasa Marga juga menginformasikan ada perbaikan jalan di Tol sekitar Fatmawati. Hal itu juga membuat kepadatan lalu lintas di lokasi.""Informasi yang kami terima dari ruas Tol Hutama Karya, saat ini informasinya selain padat volume kendaraan ini tepatnya di KM 23+200 sedang ada pekerjaan perbaikan jalan di lajur kiri, di Fatmawati,"" katanya.""Informasinya masih (macet) bisa berjalan saat ini,"" tambahnya.Simak juga 'Jakarta Macet, Jokowi: Terlambat 30 Tahun Bangun Transportasi Publik':[Gambas:Video 20detik](yld/idn)macet jakarta jabodetabek kemacetan macet jakarta "
