Judul,Tanggal,Penulis,Label,Kota,Content,Url
"Sepeda Motor Jupiter adu banteng dengan Yamaha R25, 4 Pelajar Dilarikan ke RSUP Kariadi Semarang","Kompas.com - 08/03/2023, 17:39 WIB","Kontributor Semarang, Muchamad Dafi Yusuf",Regional,"SEMARANG, KOMPAS.com","
SEMARANG, KOMPAS.com - Empat pelajar terlibat kecelakaan di Jalan Mayjen Sutoyo Depan Gang Anggrek III Kota Semarang. Sampai saat ini, para pelajar yang terlibat kecelakaan dilarikan ke RSUP Kariadi Semarang.
Kasubnit Lantas Polrestabes Semarang, Ipda Agus Trihandoko mengatakan, empat pelajar yang terlibat kecelakaan bernama Kenny Putra (15), Vito Raditya (18), Prajna Metta (18), dan Talitha Azalia (15).
Baca juga: Adu Banteng Moge dan Bus di Baluran Situbondo Diduga akibat Human Error
""Korban dirawat di RSUD Dr. Kariadi Kota Semarang,"" jelasnya saat dikonfirmasi, Rabu (8/3/2023).
Dia menjelaskan, kecelakaan tersebut bermula saat sepeda motor Jupiter menyebrang dari arah utara (Dr Panjaitan) ke arah selatan (Gang Anggrek III).
""Penyebab kecelakaan diduga pengendara kurang waspada pandangan samping kiri dan tidak menunggu bebasnya arus lalu lintas,"" kata dia.
Setelah itu, pengendara sepeda motor Jupiter adu banteng dengan pengendara sepeda motor Yamaha R25 yang melaju dengan kecepatan tinggi.
""Saat ini sepeda motor Yamaha R25 melaju dari arah MT. Haryono ke Gajahmada,"" ujarnya.
Kecelakaan tersebut terjadi sekitar pukul 11.00 WIB. Atas peristiwa kerugian ditaksir mencapai Rp 1 juta.
""Kita imbau agar warga tetap berhati-hati saat berkendara,"" paparnya.
Baca juga: Adu Banteng Motor Vs Mobil di Kulon Progo, 2 Pelajar SMP Luka Berat
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://regional.kompas.com/read/2023/03/08/173948078/sepeda-motor-jupiter-adu-banteng-dengan-yamaha-r25-4-pelajar-dilarikan-ke
"Pria Mengebut di Jalan, Tabrak 6 Mobil lalu Lepas Baju Teriak-teriak","Kompas.com - 08/03/2023, 16:04 WIB",Aditya Jaya Iswara,Global,"BUKIT JALIL, KOMPAS.com","
BUKIT JALIL, KOMPAS.com - Seorang pria yang disebut kejiwaannya tidak stabil menyebabkan kecelakaan beruntun di Bukit Jalil, Malaysia, Sabtu (4/3/2023).
Dikutip dari World of Buzz, kendaraan pria itu melaju kencang, menabrak setidaknya enam mobil, kemudian menghantam sisi jalan.
Video kecelakaan tersebut viral di media sosial setelah diunggah akun bernama Alan Yap di sebuah grup Facebook.
Baca juga: Mobilnya Bikin Macet Bandara, Pria Ini Hanya Menonton Sambil Merokok
Di video, tampak pria ini menghentikan beberapa kendaraan dengan membuat gerakan tertentu, berteriak ""Aku Tuhan"" sambil mengangkat tinju ke udara.
Di beberapa kesempatan, dia juga melepas bajunya.
Video Alan Yap juga memperlihatkan pria ini berlutut di sisi jalan dan membuat gerakan berdoa saat ditangkap pihak berwajib.
Baca juga:

Video Mobil Tesla Lepas Kendali di China, Tewaskan Sejumlah Orang, Baru Berhenti Setelah Tabrak Gedung
Kopilot Yeti Airlines yang Jatuh Ternyata Istri Pilot yang Tewas Kecelakaan Maskapai yang Sama pada 2006
Kisah Meriance, Pekerja Migran Indonesia yang Selamat dari Neraka di Malaysia, Disiksa Secara Kejam

Tak lama kemudian polisi membawa pria tersebut untuk diamankan.








Baca berita tanpa iklan. Gabung Kompas.com+

Beberapa orang mengatakan bahwa pria itu tidak stabil secara mental. Ada juga yang melaporkan Tetrahydrocannabinol (THC) dari mariyuana ditemukan dalam tubuhnya.
Pria yang tak disebutkan namanya ini selanjutnya ditahan di kantor polisi Dang Wangi.
Baca juga: Hilang 47 Tahun, Tulang Mahasiswa Ini Ditemukan dalam Mobil Tenggelam di Sungai
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 
",http://www.kompas.com/global/read/2023/03/08/160400070/pria-mengebut-di-jalan-tabrak-6-mobil-lalu-lepas-baju-teriak-teriak
"Pulang dari Bromo, Bus Pariwisata Alami Rem Blong dan Tabrak Sejumlah Kendaraan","Kompas.com - 07/03/2023, 14:37 WIB","Kontributor Probolinggo, Ahmad Faisol",Regional,PROBOLINGGO,"

PROBOLINGGO, KOMPAS.com - Kecelakaan terjadi di Pasar Lumbang, Kecamatan Lumbang, Kabupaten Probolinggo, Jawa Timur, Selasa (7/3/2023).
Bus pariwisata yang hendak pulang dari arah Gunung Bromo, mengalami rem blong dan menyasak sejumlah kendaraan di pasar. Akibatnya, sejumlah warga mengalami luka-luka.
Kejadian kecelakaan tersebut direkam oleh warga. Videonya pun menyebar di media sosial.
Di dalam video, terlihat penumpang bus yang berusaha keluar dari dalam bus. Ada pula sejumlah warga yang mengevakuasi korban kecelakaan.
Baca juga: Honda Brio Baru Milik Kades di Probolinggo Dilempar Bom Ikan 
Menurut Alun, warga di Pasar Lumbang, bus tersebut disebut membawa rombongan pelajar yang mengunjungi Bromo di Kecamatan Sukapura.
Setelah dari Bromo, bus rombongan pariwisata pulang melalui jalur menurun di Pasar Lumbang.
Baca juga: 2 Tahun Buron, Tersangka Maling Motor di Probolinggo Ditangkap Saat Pulang Kampung
""Diduga rem blong, bus itu menyasak sejumlah kendaraan di Pasar Lumbang. Korban-korban dibawa ke puskesmas dan rumah sakit,"" kata Alun.
Kepala Seksi Humas Polres Probolinggo Ipda Sugeng Santoso membenarkan kejadian tersebut.
""Saat ini kami masih menunggu keterangan dari petugas di lapangan,"" kata Sugeng.


Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://surabaya.kompas.com/read/2023/03/07/143720578/pulang-dari-bromo-bus-pariwisata-alami-rem-blong-dan-tabrak-sejumlah
Mobil yang Ditumpangi Sespri Pj Gubernur Papua Barat Daya Kecelakaan di Sorong Selatan,"Kompas.com - 06/03/2023, 23:56 WIB","Kontributor Sorong, Maichel",Regional,"SORONG,KOMPAS.com ","
SORONG,KOMPAS.com - Sebuah mobil Toyota Fortuner yang ditumpangi Sekretaris Pribadi (Sespri) Penjabat (Pj) Gubernur Papua Barat Daya Muhammad Musa'ad mengalami kecelakaan saat kunjungan kerja ke Sorong Selatan, Senin (6/3/2023) pagi.
Kabid Humas Polda Papua Barat Kombes Pol Adam Erwindi mengatakan, kecelakaan itu terjadi di Kilometer 110, Kampung Klamit, Sorong Selatan, sekitar pukul 09.00 WIT. Mobil tersebut ikut dalam rombongan kendaraan Pj Gubernur Papua Barat Daya.
Baca juga: Eks Pangdam XVIII Kasuari Dilantik Jadi Ketua DPD PDI-P Papua Barat Daya
""Mobil tersebut off control atau hilang kendali salah satu penyebabnya jalan yang lincin berbelok sehingga pengendara kaget dan terjadi kecelakaan,"" kata Adam saat dihubungi, Senin.
Adam menjelaskan, mobil yang ditumpangi sekretaris pribadi Pj Gubernur itu dikendarai sopir berinisial NH.
""Sopir yang mengendarai inisialnya NH dan jenis mobil Fortuner berpelat DD 1854 RV warna hitam,"" ujarnya.
Adam menyebut, tak ada korban jiwa dalam kecelakaan tersebut.
""Untuk kerugian mobil saja, tidak ada korban jiwa bahkan semua penumpang dan sopir sudah dipindahkan ke mobil lainnya untuk melanjutkan perjalanan,"" ungkapnya.
Baca juga: UPDATE Covid-19 di Sulteng, Sultra, Maluku, Malut, Papua, dan Papua Barat 28 Februari 2023
Mobil yang mengalami kecelakaan itu pun dievakuasi oleh petugas.
""Saat ini anggota Lantas Polres Sorong Selatan masih berupaya untuk menarik mobil dari lokasi tempat kejadian,"" imbuhnya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://regional.kompas.com/read/2023/03/06/235653478/mobil-yang-ditumpangi-sespri-pj-gubernur-papua-barat-daya-kecelakaan-di
"Toyota Avanza Tabrak Rumah Warga di Maluku Tengah, Polisi: Pengemudi Mabuk","Kompas.com - 06/03/2023, 20:29 WIB","Kontributor Ambon, Rahmat Rahman Patty",Regional,"AMBON, KOMPAS.com","
AMBON, KOMPAS.com - Sebuah rumah warga di Desa Liang, Kecamatan Salahutu, Kabupaten Maluku Tengah, rusak parah setelah ditabrak mobil Toyota Avanza.
Insiden itu terjadi saat mobil yang dikendarai MN (30), melaju dengan kecepatan tinggi dari arah RT 01 menuju RT 03 di desa tersebut pada, Minggu (5/3/2023) malam.
Baca juga: Ketua DPRD Maluku Dukung Kapolda Tangkap Provokator Bentrokan di Maluku Tengah
Akibat insiden itu, rumah milik Mahani Samual dan mobil tersebut rusak parah.
“Kejadiannya tadi malam, jadi sopir ini melaju kencang dari arah RT 01 menuju RW 03,” kata Kepala Seksi Humas Polresta Pulau Ambon dan Pulau-Pulau Lease Iptu Moyo Utomo kepada Kompas.com, Senin (6/3/2023).

Moyo mengatakan, mobil tersebut hilang kendali dan akhirnya menabrak rumah warga karena sopir mabuk minuman beralkohol.
“Jadi pengendara mobil ini dalam pengaruh minuman keras, dia dalam keadaan mabuk” ujarnya.
Polisi yang mengetahui kejadian tersebut kemudian mendatangi lokasi untuk melakukan olah tempat kejadian perkara.
Baca juga: Polisi Kantongi Identitas Penganiaya Anggota TNI di Maluku Tengah, Minta Serahkan Diri
Menurut Moyo sopir kini telah ditahan untuk dimintai pertanggungjawabannya.
“Sopir sudah ditahan sudah diamankan,” katanya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://regional.kompas.com/read/2023/03/06/202913978/toyota-avanza-tabrak-rumah-warga-di-maluku-tengah-polisi-pengemudi-mabuk
"Mobil Polisi Malaysia Putar Balik Tajam, Ringsek Ditabrak Mobil Warga","Kompas.com - 05/03/2023, 20:12 WIB",Aditya Jaya Iswara,Global,"PETALING JAYA, KOMPAS.com","
PETALING JAYA, KOMPAS.com - Mobil PDRM (Polis Diraja Malaysia) yang putar balik tajam dan memotong lajur ditabrak mobil Myvi milik warga di Petaling Jaya.
Video kecelakaan lalu lintas tersebut terekam di dascham pengguna jalan lainnya dari arah berlawanan, kemudian viral di media sosial.
Dalam video ini, tampak mobil polisi Malaysia yang berada di lajur kiri tiba-tiba berbelok tajam untuk putar balik.
Baca juga: Sopir Bus Klub JDT Parkir di Tengah Jalan, Ditinggal Sarapan di Warung
Mobil Myvi yang berada di lajur kanan sedang berjalan lurus, dan karena mobil polisi itu tiba-tiba belok, mereka tidak sempat saling menghindar sehingga terjadilah kecelakaan.
Di akhir video, terlihat sisi pengemudi mobil polisi terjepit dan ringsek akibat benturan.

Kepala Polisi Distrik Petaling Jaya, Asisten Komisaris Mohamad Fakhrudin Abdul Hamid, mengatakan bahwa peristiwa itu terjadi pada sore hari tanggal 28 Februari 2023.
Dikutip dari World of Buzz pada Sabtu (4/3/2023), ia mengungkapkan, mobil polisi sedang melakukan patroli tindak kriminal ketika berbelok tajam.
Investigasi sudah dibuka dan surat panggilan dikeluarkan untuk polisi yang mengemudikan mobil tersebut.
Baca juga:








Baca berita tanpa iklan. Gabung Kompas.com+


Takut Covid-19, Ibu Ini Kunci Diri di Rumah 3 Tahun, Polisi Dobrak Pintu
Malaysia: Aliran Sesat Kumpulan Zikir Asmaul Husna Juga Berusaha Sebarkan Ajaran ke Indonesia

Fakhrudin lalu meminta semua orang mengemudi sambil mengikuti aturan agar tidak terjadi kecelakaan.
Ia turut mengimbau masyarakat untuk melapor ke pihak berwajib jika menemukan pelanggaran, sekalipun itu kendaraan PDRM.
Baca juga: Terungkap, Pengebom Bunuh Diri di Masjid Pakistan Kenakan Seragam Polisi
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 
",http://www.kompas.com/global/read/2023/03/05/201200070/mobil-polisi-malaysia-putar-balik-tajam-ringsek-ditabrak-mobil-warga
"Mobil Siaga Desa di Bojonegoro Tercebur ke Sungai, 8 Penumpang Dilarikan ke RS","Kompas.com - 03/03/2023, 20:31 WIB","Kontributor Tuban, Hamim",Regional,"BOJONEGORO, KOMPAS.com","
BOJONEGORO, KOMPAS.com - Sebuah mobil siaga milik Desa Mulyorejo mengalami kecelakaan tunggal dan tercebur ke sungai saat melintas di Jalan Raya Sumberrejo, Kabupaten Bojonegoro, Jawa Timur. 
Akibatnya, delapan penumpang mobil siaga Desa Mulyorejo, Kecamatan Balen, Bojonegoro, itu terpaksa dilarikan ke rumah sakit.
Baca juga: 2 Oknum Guru SMP di Bojonegoro Jadi Tersangka Korupsi Dana BOS
Kepala Desa Mulyorejo M Subekhan mengatakan, kecelakaan mobil siaga desa tersebut terjadi pada Jumat (3/3/2023) pukul 10.00 WIB.
Mobil siaga jenis Gran Max dengan Nomor Polisi S 1352 DU yang dikemudikan oleh Manan (33), sedang mengangkut rombongan warga menuju Kabupaten Jombang untuk menghadiri hajatan keluarga.
Saat perjalanan, pengemudi mobil siaga berusaha mendahului truk yang ada di depannya, nahas mobil siaga justru oleng dan tercebur ke sungai.
""Mau nyalip dump truk di depannya tapi ban depan justru tergelincir dan masuk ke dalam sungai,"" kata Subekhan saat dihubungi Kompas.com, Jumat.

Para penumpang mengalami luka ringan dan sudah mendapatkan penanganan dari tim medis Rumah Sakit Sumberrejo.
""Alhamdulillah para penumpang semuanya selamat dan telah dibawa ke IGD tadi di RS Sumberrejo,"" terangnya.
Sementara itu, bodi dan kaca bagian depan mobil siaga itu rusak. Mobil itu telah dibawa menggunakan mobil derek Dinas Perhubungan Bojonegoro ke bengkel.
Menurutnya, mobil siaga yang mengalami kecelakaan tersebut adalah milik desa yang bisa dipakai warga membutuhkan.
Baca juga: Bengawan Solo Siaga 1, Warga Bojonegoro Diminta Waspada Luapan Air
Sedangkan untuk mobil siaga yang berpelat merah bantuan dari Pemerintah Kabupaten Bojonegoro, khusus digunakan warga yang sakit.
""Mobil yang kecelakaan itu memang aset desa, bukan mobil siaga yang bantuan dari Pemkab,"" ujarnya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://surabaya.kompas.com/read/2023/03/03/203115778/mobil-siaga-desa-di-bojonegoro-tercebur-ke-sungai-8-penumpang-dilarikan-ke
"Tabrakan Moge Vs Bus di Jalan Hutan Baluran Situbondo, 1 Orang Tewas","Kompas.com - 03/03/2023, 19:00 WIB","Kontributor Situbondo, Ridho Abdullah Akbar",Regional,"SITUBONDO, KOMPAS.com","
SITUBONDO, KOMPAS.com - Sebuah motor gede (moge) terlibat kecelakaan dengan bus di Jalan Hutan Baluran, Kecamatan Banyuputih, Kabupaten Situbondo, Jawa Timur, Jumat (3/3/2023) pukul 12.00 WIB.
Akibat kecelakaan itu, pengendara moge berinisial SN tewas di tempat. Saat peristiwa itu, SN sedang berkonvoi bersama sejumlah pengendara moge lainnya.
Baca juga: Dampak Banjir di Situbondo, 100 Hektare Lahan Pertanian Rusak
Rombongan moge itu pun sempat berhenti karena salah satu anggotanya terlibat kecelakaan. 
Kanit Laka Satlantas Polres Situbondo Ipda Kadek Yasa mengatakan, korban merupakan warga Jakarta Barat. Sementara pengemudi bus berinisial KA (57), berdomosili di Desa Wringinputih, Kecamatan Muncar, Banyuwangi.
""Kita langsung olah TKP, korban tidak bisa diselamatkam karena langsung meninggal dunia,"" kata Kadek Yasa saat dikonfirmasi, Jumat.
Kadek Yasa menjelaskan, rombongan moge itu berkonvoi menuju Pulau Bali. Di sekitar lokasi, pengendara berinisial SN mengendarai kendaraannya terlalu ke tengah sehingga tertabrak olhe bus angkutan umum.
""Pengendara ke tengah sehingga ditabrak (bus), ini baru olah TKP awal dan akan melakukan pemanggilan saksi-saksi lain,"" tuturnya.
Kadek Yasa menambahkan, korban sudah dievakuasi dari lokasi kejadian dan akan diserahkan kepada keluarga di Jakarta Barat. Proses pengiriman jenazah masih dipertimbangkan.
""Motornya kami amankan di kantor, kondisi kerusakan dibagian depan kendaraan karena ada benturan keras,"" katanya.
Baca juga: Pemkab Situbondo Ajukan Dana Perbaikan Rp 5 M untuk 2 Jembatan yang Hancur akibat Banjir
Korban mengalami luka di bagian hidung dan dagu. Korban juga mengalami patah tulang tangan kanan, patah tulang kaki, dan luka di bawah alat kelamin.
""Untuk pengendara bus selamat tidak ada luka,"" katanya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://surabaya.kompas.com/read/2023/03/03/190011978/tabrakan-moge-vs-bus-di-jalan-hutan-baluran-situbondo-1-orang-tewas
"""Ngebut"", Mobil Freed Tabrak Angkot lalu Terguling dan Jatuh dari ""Flyover"" UI","Kompas.com - 01/03/2023, 05:21 WIB",M Chaerul Halim,Megapolitan,"DEPOK, KOMPAS.com","
DEPOK, KOMPAS.com - Sebuah mobil Honda Freed bernomor polisi B 1647 EYN menabrak angkutan kota (angkot) di Flyover Universitas Indonesia (UI), Beji, Depok, pada Selasa (28/2/2023) sekitar pukul 23.13 WIB.
Akibatnya, mobil Freed itu terguling lalu jatuh dari Flyover UI.
Paur Satlantas Polres Metro Depok Iptu Sucipto mengatakan, kecelakaan itu bermula ketika mobil Freed melintas dari arah Depok menuju Jakarta dengan kecepatan tinggi.
Setibanya di jalan bercabang Flyover UI, mobil tersebut menabrak angkot 04 jurusan Depok-Pasar Minggu, yang berada persis di depannya.
""Kalau menurut keterangan pengendara yang di belakangnya, dia (sopir Honda Freed) kecepatan tinggi sehingga tidak bisa menguasai kemudinya dan akhirnya nabrak angkot,"" kata Sucipto di lokasi kejadian.
Baca juga: Penampakan Semen Cor yang Jadi Kuburan Dua Wanita Korban Pembunuhan di Bekasi Utara
Sucipto berujar, mobil yang dikendarai seorang pria dengan satu penumpang perempuan itu menabrak bumper angkot.
Karena berbenturan keras, mobil Honda Freed langsung terguling lalu jatuh ke bawah flyover tersebut.
""Mobil angkot ditabrak bumper sebelah kiri, dia (sopir angkot) bisa nahan, ngerem kendaraannya, sedangkan mobil yang nabrak itu sempat guling, langsung terbang ke tempat ini,"" kata Sucipto.
Baca juga: Mahfud MD Sebut Ayah Mario Terindikasi Lakukan Pencucian Uang Sejak 2013
Sucipto belum dapat memastikan kondisi sopir honda Freed dan seorang penumpangnya.
Sebab, korban sudah dilarikan ke Rumah Sakit Bunda Margonda sebelum petugas Satlantas tiba di lokasi kejadian.
""Kalau melihat kondisi kendaraan seperti ini (ringsek), barangkali korban mengalami luka-luka,"" imbuh dia.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.
 ",http://megapolitan.kompas.com/read/2023/03/01/05213001/ngebut-mobil-freed-tabrak-angkot-lalu-terguling-dan-jatuh-dari-flyover-ui
"Kijang Innova Tabrak Rumah Warga di Blitar, Polisi: Kami Sedang Mengejar Pengemudi","Kompas.com - 28/02/2023, 15:55 WIB","Kontributor Blitar, Asip Agus Hasani",Regional,"BLITAR, KOMPAS.com","
BLITAR, KOMPAS.com - Kepolisian Resor (Polres) Blitar belum mengetahui motif pengemudi Kijang Innova hitam melarikan diri usai menabrak rumah warga di Desa Jeblok, Kecamatan Talun, Kabupaten Blitar, Jawa Timur.
Kasat Lantas Polres Blitar AKP Mursid Budi Hartanto mengatakan, polisi masih menyelidiki kasus kecelakaan tunggal yang terjadi pada Selasa (28/2/2023) dini hari itu.
Baca juga: Kijang Innova Bermuatan Rokok Tabrak Rumah Warga di Blitar, Sopir Kabur
""Kami sedang berusaha mengejar pengemudi. Sedang kami telusuri ke rumah sakit dan klinik-klinik jika mungkin ada orang yang datang berobat karena luka kecelakaan,"" kata Mursid saat ditemui wartawan, Selasa.
Mursid belum bisa memastikan alasan pengemudi yang diduga seorang laki-laki itu kabur dan meninggalkan Kijang Innova hitam di lokasi kecelakaan.
Mobil dengan nomor polisi D 1256 YTV itu rusak pada bagian depan akibat menabrak dinding rumah warga bernama Kamsiyah.
Rumah Kamsiyah pun rusak parah akibat kecelakaan itu. Teras rumah, sebagian atap, dan dinding ruang tamu, roboh.
Saat ditanya apakah ada kartu identitas yang ditemukan di lokasi kecelakaan, Mursid menyebut masih mencarinya.
""Sampai saat ini kami masih mencari identitas pengendara. Belum dapat,"" ujarnya.

Mursid enggan menjawab terkait kesaksian sejumlah warga yang menyebut mobil itu bermuatan rokok diduga ilegal.
""Kita mohon waktu masih kita dalami,"" ujarnya. ",http://surabaya.kompas.com/read/2023/02/28/155523578/kijang-innova-tabrak-rumah-warga-di-blitar-polisi-kami-sedang-mengejar
