conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,79E+18;Fri May 03 06:00:19 +0000 2024;4068;Terlepas dari screen shot ini valid atau tidak tapi ya emang ini NEGARA LUCU. Bener lah si Marselino itu. Netizen bolanya lebih lucu lagi. Kritik timnas dianggap memecah belah eh giliran pas timnas lagi kalah mereka yg malah penuh semangat keluarkan sumpah serapah dan hujatan. https://t.co/yS7SuIAYW2;1,79E+18;https://pbs.twimg.com/media/GMoeDckaEAANH-Y.jpg;;in;;285;494;1202;https://x.com/iIhamzada/status/1786274568967270829;4739247200;iIhamzada
1,80E+18;Sun Jun 23 14:45:00 +0000 2024;186;🇳🇱️🇮🇹 Clue terakhir yang tidal mudah! ‣ #KitaGaruda https://t.co/rqgf7M2Zgt;1,80E+18;https://pbs.twimg.com/media/GQw_mHmbcAAuwd1.jpg;;in;Indonesia;5;9;33;https://x.com/TimnasIndonesia/status/1804888390816661904;1,68E+18;TimnasIndonesia
1,79E+18;Thu May 09 15:04:57 +0000 2024;12599; Garuda. https://t.co/bpx57SJZXS;1,79E+18;https://pbs.twimg.com/media/GNJVV5Ob0AAHu5S.jpg;;eu;Indonesia;634;734;2199;https://x.com/TimnasIndonesia/status/1788585959996686721;1,68E+18;TimnasIndonesia
1,78E+18;Thu Apr 25 23:22:42 +0000 2024;21253;Apresiasi besar buat pelatih timnas uri coach Shin Tae Yong para pemain official dan supporters gilaa gak si Indonesia yg ranknya ratusan bisa menang lawan negara rank 20-an yg suka masuk pildun??? Bahkan bikin korsel gagal masuk olim sejak 1984??!! BANGGA 🇮🇩 https://t.co/ZyrpNrk7O9;1,78E+18;https://pbs.twimg.com/media/GMDBHZhbEAAjS8a.jpg;;in;Indonesia;179;307;2081;https://x.com/tanyakanrl/status/1783637790032629816;1,33E+18;tanyakanrl
1,80E+18;Tue Jun 11 14:34:57 +0000 2024;25847; Hari ini 𝑚𝑖𝑙𝑖𝑘 𝑘𝑖𝑡𝑎. https://t.co/joTwBt4c4A;1,80E+18;https://pbs.twimg.com/media/GPzLCnraQAAfybd.jpg;;in;Indonesia;1147;537;9677;https://x.com/TimnasIndonesia/status/1800537207897563200;1,68E+18;TimnasIndonesia
1,80E+18;Tue Jun 18 13:45:55 +0000 2024;25;DIEGO SINATHRYA Salah satu punggawa Timnas Indonesia U16 yang dipanggil coach Nova Arianto dari klub PSG Academy. Diego Andres Sinathrya merupakan putra dari Darius Sinathrya dan Donna Agnesia. Bersama PSG Academy Diego bahkan pernah menyandang status ban kapten! Salah satu https://t.co/4DXhpGx1S9;1,80E+18;https://pbs.twimg.com/media/GQXC8sXWIAADSh9.jpg;;in;Indonesia;2;1;2;https://x.com/Indosiar/status/1803061581741257062;351999221;Indosiar
1,80E+18;Fri Jun 21 06:27:10 +0000 2024;60;Tembok rumah keluarga Jay Idzes di Mierlo Belanda telah diselimuti dengan kebanggaan. Selain foto-foto keluarga tergantung potret Idzes yang bertransformasi dari pemain muda akademi menjadi pemain profesional. Salah satunya adalah foto ketika dia membela Timnas Indonesia. https://t.co/8l3HDoFjaS;1,80E+18;https://pbs.twimg.com/media/GQk39ArbIAAPVPz.jpg;;in;;0;1;9;https://x.com/fantasista_id/status/1804038331627639254;1,34E+18;fantasista_id
1,80E+18;Fri Jun 21 14:37:36 +0000 2024;22311;Heyy... Ini pertandingan Timnas U-16 loh... Indosiar tidak langsung ke iklan. Tetap tayangkan pasca pertandingan termasuk momen nyanyi lagu Tanah Airku Ini baru Official Broadcaster #TimnasDay #AFFU16 https://t.co/ecGxZ5bP4x;1,80E+18;https://pbs.twimg.com/media/GQmrinxboAAS34s.jpg;;in;Indonesia;148;272;2333;https://x.com/48bolaID/status/1804161753187590261;4627725434;48bolaID
1,80E+18;Tue Jun 18 18:17:55 +0000 2024;3655; Klarifikasi Ernando mengenai podcast yang nyeritain waktu Seleksi Timnas U-16 ada Pemain Titipan yang waktu itu coach Fakhri Husaini menjadi Pelatih Kepala Timnas U-16 nando klarifikasi kalau bukan Coach Fakhri langsunh yang seleksi waktu itu #TimnasDay https://t.co/eQIR0eTvpT;1,80E+18;https://pbs.twimg.com/amplify_video_thumb/1803129883427741699/img/ADnBHSA1rxzSx1Mp.jpg;;in;;137;205;652;https://x.com/Riweh_Banget/status/1803130036557586735;1,17E+18;Riweh_Banget
1,80E+18;Sat Jun 22 07:06:36 +0000 2024;538;Berto Belli. https://t.co/FsMB3ynMRz;1,80E+18;https://pbs.twimg.com/media/GQqN6eNakAE5QXb.jpg;;it;Indonesia;5;18;44;https://x.com/TimnasIndonesia/status/1804410643052933378;1,68E+18;TimnasIndonesia
1,80E+18;Sun Jun 16 14:38:30 +0000 2024;7459;timnas cabang timnas pusat https://t.co/8mUsTqKcrX;1,80E+18;https://pbs.twimg.com/media/GQM7zwybEAALHZq.jpg;;in;;53;40;886;https://x.com/achfendyyy/status/1802350042747224192;1,13E+18;achfendyyy
