Wilayah Inflasi Jawa Barat,,,,,,,,,,,,,
,Inflasi Bulanan Tujuh Kota (m to m) (Persen),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jawa Barat,0.16,0.19,0.01,0.22,0.38,-0.23,0.11,0.14,-0.11,0.07,0.27,0.46,1.69
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.19,0.24,0.06,0.24,0.4,-0.17,0.07,0.08,-0.1,0.08,0.26,0.56,1.93
Kota Sukabumi,0.26,0.07,0.19,0.3,0.09,-0.12,0.1,-0.03,-0.1,0.04,0.57,0.34,1.71
Kota Bandung,0.1,0.09,0.15,0.19,0.4,-0.09,0.19,0.09,-0.14,0.07,0.14,0.45,1.65
Kota Cirebon,0.08,0.07,0.07,0.33,0.34,-0.17,0.02,0.09,-0.06,0.08,0.42,0.54,1.81
Kota Bekasi,0.19,0.23,-0.1,0.13,0.25,-0.33,0.19,0.25,-0.12,0.05,0.32,0.54,1.61
Kota Depok,0.14,0.2,0.05,0.33,0.65,-0.29,-0.03,0.06,-0.07,0.15,0.28,0.33,1.81
Kota Tasikmalaya,0.25,0.02,-0.06,0.38,0.11,-0.05,0.08,0.02,-0.24,0.03,0.17,0.46,1.17
