Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year to Date Tujuh Kota (y to D) (Persen),,,,,,,,,,,
,2020,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,0.47,0.78,1.1,1.23,1.12,1.45,1.38,1.3,1.29,1.36,1.66,2.18
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.78,1.03,1.07,1.05,1.06,1.33,1.32,1.16,1.28,1.41,1.73,2.18
Kota Sukabumi,0.42,0.68,0.98,1.04,1.07,1.24,1.18,0.96,0.88,0.9,1.26,1.84
Kota Bandung,0.38,0.73,0.98,1.15,0.9,1.31,1.17,1.07,1.02,1.1,1.36,1.75
Kota Cirebon,0.1,0.26,0.56,0.58,0.49,0.94,0.82,0.59,0.33,0.34,0.68,1.16
Kota Bekasi,0.38,0.76,1.15,1.41,1.33,1.82,1.81,1.8,1.77,1.78,2.07,2.81
Kota Depok,0.61,0.86,1.22,1.24,1.07,1.17,1.01,0.93,0.95,1.1,1.42,1.78
Kota Tasikmalaya,0.17,0.49,0.81,0.93,0.96,1.11,1.24,0.97,0.93,1.07,1.35,1.61
