Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year to Date Tujuh Kota (y to D) (Persen),,,,,,,,,,,
,2021,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,0.16,0.35,0.36,0.58,0.96,0.73,0.84,0.98,0.87,0.95,1.22,1.69
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.19,0.43,0.49,0.73,1.13,0.96,1.04,1.12,1.02,1.1,1.36,1.93
Kota Sukabumi,0.26,0.32,0.51,0.81,0.91,0.79,0.89,0.86,0.76,0.8,1.37,1.71
Kota Bandung,0.1,0.19,0.34,0.53,0.94,0.84,1.03,1.13,0.98,1.05,1.19,1.65
Kota Cirebon,0.08,0.15,0.21,0.54,0.88,0.71,0.73,0.81,0.75,0.83,1.26,1.81
Kota Bekasi,0.19,0.43,0.32,0.45,0.7,0.37,0.56,0.81,0.69,0.74,1.06,1.61
Kota Depok,0.14,0.34,0.39,0.71,1.37,1.08,1.05,1.11,1.04,1.19,1.48,1.81
Kota Tasikmalaya,0.25,0.27,0.21,0.59,0.69,0.65,0.72,0.74,0.5,0.53,0.7,1.17
