Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year on Year Tujuh Kota (y on y) (Persen),,,,,,,,,,,
,2019,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,3.04,2.61,2.42,2.88,3.47,3.48,3.49,3.91,3.85,3.48,3.42,3.21
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,3.4,2.63,2.7,3.01,3.57,3.83,3.48,3.97,3.75,3.67,3.52,3.02
Kota Sukabumi,2.47,2.11,2.01,2.45,2.92,2.84,2.57,2.62,2.74,2.58,2.53,2.33
Kota Bandung,3,2.69,2.51,2.67,3.31,2.93,3.32,3.96,3.93,3.28,3.05,2.78
Kota Cirebon,1.97,1.21,1.69,2.04,2.25,1.71,1.75,2.33,2.36,2.26,2.14,2
Kota Bekasi,3.95,3.52,2.85,3.58,4.09,4.28,4.04,4.58,4.59,4.34,4.51,4.28
Kota Depok,2.36,2.02,2.12,2.78,3.56,3.99,4.01,3.95,3.83,3.4,3.33,3.29
Kota Tasikmalaya,1.7,1.38,1.31,1.62,1.9,1.6,1.65,2.08,1.96,1.83,1.64,1.72
