Tahun,Bulan,Provinsi,Kode_Provinsi,Indeks_Ketersediaan,Indeks_Akses,Indeks_Pemanfaatan,Indeks_Komposit
2022,Juni,Aceh,11,2,3,3 ,3
2022,Juni,Sumatera Utara,12,2,3,3 ,3
2022,Juni,Sumatera Barat,13,2,3,3 ,3
2022,Juni,Riau,14,2,3,3 ,3
2022,Juni,Jambi,15,2,3,3 ,3
2022,Juni,Sumatera Selatan,16,2,3,3 ,3
2022,Juni,Bengkulu,17,2,3,3 ,3
2022,Juni,Lampung,18,2,3,3 ,3
2022,Juni,Bangka Belitung,19,2,3,3 ,3
2022,Juni,Kepulauan Riau,21,2,3,3 ,3
2022,Juni,DKI Jakarta,31,2,3,3 ,3
2022,Juni,Jawa Barat,32,2,3,3 ,3
2022,Juni,Jawa Tengah,33,2,3,3 ,3
2022,Juni,DI Yogyakarta,34,2,3,3 ,3
2022,Juni,Jawa Timur,35,2,3,3 ,3
2022,Juni,Banten,36,2,3,3 ,3
2022,Juni,Bali,51,2,3,3 ,3
2022,Juni,Nusa Tenggara Barat,52,2,3,2 ,2
2022,Juni,Nusa Tenggara Timur,53,2,3,1 ,2
2022,Juni,Kalimantan Barat,61,2,3,3 ,3
2022,Juni,Kalimantan Tengah,62,3,3,3 ,3
2022,Juni,Kalimantan Selatan,63,3,3,3 ,3
2022,Juni,Kalimantan Timur,64,3,3,3 ,3
2022,Juni,Kalimantan Utara,65,2,3,3 ,3
2022,Juni,Sulawesi Utara,71,2,3,3 ,3
2022,Juni,Sulawesi Tengah,72,2,3,3 ,3
2022,Juni,Sulawesi Selatan,73,3,3,3 ,3
2022,Juni,Sulawesi Tenggara,74,2,3,3 ,3
2022,Juni,Gorontalo,75,2,3,3 ,3
2022,Juni,Sulawesi Barat,76,2,3,2 ,2
2022,Juni,Maluku,81,3,3,3 ,3
2022,Juni,Maluku Utara,82,2,3,3 ,3
2022,Juni,Papua Barat,91,3,3,2 ,3
2022,Juni,Papua,94,2,3,3 ,3
2022,Juli,Aceh,11,1,3,3 ,2
2022,Juli,Sumatera Utara,12,1,3,3 ,2
