Tahun,Komoditas,CV
2021,GKP Petani,2.68 
2021,GKG Penggilingan,2.07 
2021,Beras Premium ,1.73 
2021,Beras Medium ,1.03 
2021,Jagung ,8.41 
2021,Kedelai ,4.52 
2021,Cabai Merah Keriting,33.89 
2021,Cabai Rawit Merah,44.27 
2021,Bawang Merah ,10.98 
2021,Sapi (Hidup) ,2.26 
2021,Ayam Ras (Hidup) ,5.64 
2021,Telur Ayam Ras ,5.06 
2022,GKP Petani,5.85 
2022,GKG Penggilingan,4.91 
2022,Beras Premium ,3.86 
2022,Beras Medium ,3.53 
2022,Jagung ,6.44 
2022,Kedelai ,6.63 
2022,Cabai Merah Keriting,46.01 
2022,Cabai Rawit Merah,33.06 
2022,Bawang Merah ,25.94 
2022,Sapi (Hidup) ,2.50 
2022,Ayam Ras (Hidup) ,4.82 
2022,Telur Ayam Ras ,9.50 
2023,GKP Petani,10.75 
2023,GKG Penggilingan,9.25 
2023,Beras Premium ,7.39 
2023,Beras Medium ,6.83 
2023,Jagung ,11.83 
2023,Kedelai ,3.18 
2023,Cabai Merah Keriting,38.57 
2023,Cabai Rawit Merah,45.16 
2023,Bawang Merah ,21.75 
2023,Sapi (Hidup) ,1.69 
2023,Ayam Ras (Hidup) ,5.93 
2023,Telur Ayam Ras ,4.75 
2024,GKP Petani,8.52 
2024,GKG Penggilingan,8.92 
2024,Beras Premium ,4.05 
2024,Beras Medium ,5.09 
2024,Jagung ,21.00 
2024,Kedelai ,3.68 
2024,Cabai Merah Keriting,19.50 
2024,Cabai Rawit Merah,17.14 
2024,Bawang Merah ,22.29 
2024,Sapi (Hidup) ,1.47 
2024,Ayam Ras (Hidup) ,4.15 
2024,Telur Ayam Ras ,4.21 
